Familie,Familie_deutsch,Gattung,Artname,Genus,Species,Wissenschaftlicher Name,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
Hepialidae,Würzelbohrer,"Pharmacis HÜBNER, 1820","fusconebulosa (DEGEER, 1778)",Pharmacis,fusconebulosa,Pharmacis fusconebulosa,0,ex,x 1973,–,,LKW,V,⬤,,Adlerfarn-Wurzelbohrer
Limacodidae,Schneckenspinner,"Heterogenea KNOCH, 1783","asella (DEN. & SCHIFF., 1775)",Heterogenea,asella,Heterogenea asella,0,ex,x 1978,–,,LMW,V,⬤,,Kleiner Schneckenspinner
Zygaenidae,Widderchen,"Zygaena FABRICIUS, 1775","purpuralis (BRUENNICH, 1763)",Zygaena,purpuralis,Zygaena purpuralis,0,ex,x,–,,TR,V,⬤,§,Thymian-Widderchen
Lasiocampidae,Glucken,"Malacosoma HÜBNER, 1820","castrensis (LINNAEUS, 1758)",Malacosoma,castrensis,Malacosoma castrensis,0,ex,x 1982,–,,TR,3,⬤,§,Wolfsmilch-Ringelspinner
Lasiocampidae,Glucken,"Eriogaster GERMAR, 1810 ","lanestris (LINNAEUS, 1758)",Eriogaster,lanestris,Eriogaster lanestris,0,ex,x vor 1900,–,,WRS,3,⬤,§,Wollafter
Lasiocampidae,Glucken,Lasiocampa SCHRANK 1802,"quercus (LINNAEUS, 1758)",Lasiocampa,quercus,Lasiocampa quercus,0,ex,x 1973,–,,LKW,*,⬤,,Eichenspinner
Lasiocampidae,Glucken,"Trichiura STEPHENS, 1828 ","crataegi (LINNAEUS, 1758)",Trichiura,crataegi,Trichiura crataegi,0,ex,x 1975,–,,HE,*,⬤,,Weißdornspinner
Lasiocampidae,Glucken,"Gastropacha OCHSENHEIMER, 1810 ","populifolia (DEN. & SCHIFF., 1775)",Gastropacha,populifolia,Gastropacha populifolia,0,ex,x 1959,–,,WHA,1,⬤,§§,Pappelglucke
Lasiocampidae,Glucken,"Phyllodesma HÜBNER, 1820","tremulifolia (HÜBNER, 1810)",Phyllodesma,tremulifolia,Phyllodesma tremulifolia,0,ex,x 1967,–,,LMW,3,⬤,§,Eichenglucke
Lasiocampidae,Glucken,"Odonestis GERMAR, 1812","pruni (LINNAEUS, 1758)",Odonestis,pruni,Odonestis pruni,0,ex,x 1975,–,,"BW, LMW, VG, HE",2,⬤,,Pflaumenglucke
Brahmaeidae,Wiesenspinner,"Lemonia HÜBNER, 1820","dumi (LINNAEUS, 1761)",Lemonia,dumi,Lemonia dumi,0,ex,x 1962,–,,TR,2,⬤,§,Habichtskraut-Wiesenspinner
Saturniidae,Augenspinner,"Aglia OCHSENHEIMER, 1810","tau (LINNAEUS, 1758)",Aglia,tau,Aglia tau,0,ex,x 1970,–,,BuW,*,⬤,,Nagelfleck
Saturniidae,Augenspinner,"Saturnia SCHRANK, 1802 ","pavonia (LINNAEUS, 1758)",Saturnia,pavonia,Saturnia pavonia,0,ex,x 1970,–,,CH,*,⬤,,Kleines Nachtpfauenauge
Sphingidae,Schwärmer,"Hemaris DALMAN, 1877","tityus (LINNAEUS, 1758)",Hemaris,tityus,Hemaris tityus,0,ex,x 1940,–,,TR,2,⬤,§,Skabiosenschwärmer
Hesperiidae,Dickkopffalter,"Pyrgus HÜBNER, 1819 ","carthami (HÜBNER, 1813)",Pyrgus,carthami,Pyrgus carthami,0,ex,x vor 1900,–,,TR,2,o,§,Steppenheiden-Würfel-Dickkopffalter
Hesperiidae,Dickkopffalter,"Pyrgus HÜBNER, 1819 ","alveus (HÜBNER, 1803)",Pyrgus,alveus,Pyrgus alveus,0,ex,x vor 1900,–,,TR,2,⬤,§,Sonnenröschen-Würfel-Dickkopffalter
Hesperiidae,Dickkopffalter,"Carterocephalus LEDERER, 1852 ","silvicola (MEIGEN, 1829)",Carterocephalus,silvicola,Carterocephalus silvicola,0,ex,x 1980,–,,BW,2,⬤,,Schwarzkolbiger Gold-Dickkopffalter
Lycaenidae,Bläulinge,"Lycaena FABRICIUS, 1807","helle (DEN. & SCHIFF., 1775)",Lycaena,helle,Lycaena helle,0,ex,x 1957,–,,MW,2,⬤,"§§, II, IV",Blauschillernder Feuerfalter
Lycaenidae,Bläulinge,"Lycaena FABRICIUS, 1808","hippothoe (LINNAEUS, 1761)",Lycaena,hippothoe,Lycaena hippothoe,0,ex,x 1981,–,,NM,3,⬤,§,Lilagold-Feuerfalter
Lycaenidae,Bläulinge,"Satyrium SCUDDER, 1876 ","spini (DEN. & SCHIFF., 1775)",Satyrium,spini,Satyrium spini,0,ex,x 1957,–,,HE?,3,⬤,,Kreuzdorn-Zipfelfalter
Lycaenidae,Bläulinge,"Polyommatus LATREILLE, 1804 ","coridon (PODA, 1761)",Polyommatus,coridon,Polyommatus coridon,0,ex,x 1920,–,,TR-b,*,⬤,§,Silbergrüner Bläuling
Lycaenidae,Bläulinge,"Aricia REICHENBACH, 1817 ","eumedon (ESPER, 1780)",Aricia,eumedon,Aricia eumedon,0,ex,x vor 1900,–,,"NM, MW",3,o,,Storchschnabel-Bläuling
Lycaenidae,Bläulinge,"Plebejus KLUK, 1780 ","argus (LINNAEUS, 1758)",Plebejus,argus,Plebejus argus,0,ex,x 1966,–,,CH,*,⬤,§,Argus-Bläuling
Lycaenidae,Bläulinge,"Plebejus KLUK, 1780 ","optilete (KNOCH, 1781)",Plebejus,optilete,Plebejus optilete,0,ex,x 1988,–,,ZM,2,⬤,§,Hochmoor-Bläuling
Lycaenidae,Bläulinge,"Maculinea EECKE, 1915 ","arion (LINNAEUS, 1758)",Maculinea,arion,Maculinea arion,0,ex,x 1930,–,,WRS,3,⬤,"§§, IV",Schwarzfleckiger Ameisen-Bläuling
Lycaenidae,Bläulinge,"Maculinea EECKE, 1915 ","teleius (BERGSTRÄSSER, 1779)",Maculinea,teleius,Maculinea teleius,0,ex,x 1961,–,,MW,2,⬤,"§§, II, IV",Heller Wiesenknopf-Ameisen-Bläuling
Lycaenidae,Bläulinge,"Maculinea EECKE, 1915 ","nausithous (BERGSTRÄSSER, 1779)",Maculinea,nausithous,Maculinea nausithous,0,ex,x vor 1900,–,,MW,V,⬤,"§§, II, IV",Dunkler Wiesenknopf-Ameisen-Bläuling
Lycaenidae,Bläulinge,"Maculinea EECKE, 1915 ","alcon (DEN. & SCHIFF., 1775)",Maculinea,alcon,Maculinea alcon,0,ex,x 1935,–,,MW,2,o,§,Lungenenzian-Ameisen-Bläuling
Lycaenidae,Bläulinge,"Pseudophilotes BEURET, 1958","vicrama (MOORE, 1865)",Pseudophilotes,vicrama,Pseudophilotes vicrama,0,ex,x 1949,–,,TR,1,o,§§,Östlicher Quendelbläuling
Lycaenidae,Bläulinge,"Cupido SCHRANK, 1801 ","minimus (FUESSLY, 1775)",Cupido,minimus,Cupido minimus,0,ex,x vor 1900 ?,–,,TR,*,⬤,,Zwerg-Bläuling
Nymphalidae,Edelfalter,"Boloria MOORE, 1900","euphrosyne (LINNAEUS, 1758)",Boloria,euphrosyne,Boloria euphrosyne,0,ex,x 1974,–,,"WRS, WS",2,o,§,Silberfleck-Perlmutterfalter
Nymphalidae,Edelfalter,"Boloria MOORE, 1900","aquilonaris (STICHEL, 1908)",Boloria,aquilonaris,Boloria aquilonaris,0,ex,x 1968,–,,ZM,2,⬤,§,Hochmoor-Perlmutterfalter
Nymphalidae,Edelfalter,"Argynnis FABRICIUS, 1807 ","aglaja (LINNAEUS, 1758)",Argynnis,aglaja,Argynnis aglaja,0,ex,x 1980,–,,WS,V,⬤,,Großer Perlmutterfalter
Nymphalidae,Edelfalter,"Argynnis FABRICIUS, 1807 ","niobe (LINNAEUS, 1758)",Argynnis,niobe,Argynnis niobe,0,ex,x,x 1995,Declining,"TR, WS",2,⬤,,Mittlerer Perlmutterfalter
Nymphalidae,Edelfalter,"Apatura FABRICIUS, 1807 ","iris (LINNAEUS, 1758)",Apatura,iris,Apatura iris,0,ex,x 1946,–,,WRS,V,⬤,§,Großer Schillerfalter
Nymphalidae,Edelfalter,"Limenitis FABRICIUS, 1807 ","populi (LINNAEUS, 1758)",Limenitis,populi,Limenitis populi,0,ex,x 1974,–,,"WRS, MW",*,⬤,§,Großer Eisvogel
Nymphalidae,Edelfalter,"Melitaea FABRICIUS, 1807 ","didyma (ESPER, 1778)",Melitaea,didyma,Melitaea didyma,0,ex,x 1971,–,,WS,2,⬤,,Roter Scheckenfalter
Nymphalidae,Edelfalter,"Melitaea FABRICIUS, 1807 ","diamina (LANG, 1789)",Melitaea,diamina,Melitaea diamina,0,ex,x 1968,–,,"NM, MW",3,⬤,,Baldrian-Scheckenfalter
Nymphalidae,Edelfalter,"Euphydryas SCUDDER, 1872 ","aurinia (ROTTEMBURG, 1775)",Euphydryas,aurinia,Euphydryas aurinia,0,ex,x 1961,–,,MW,2,⬤,§,Goldener-Scheckenfalter
Nymphalidae,Edelfalter,"Lasiommata WESTWOOD, 1841 ","maera (LINNAEUS, 1758)",Lasiommata,maera,Lasiommata maera,0,ex,x 1960,–,,"WRS, LKW",V,⬤,,Braunauge
Nymphalidae,Edelfalter,"Coenonympha HÜBNER, 1819","tullia (O. F. MUELLER, 1764)",Coenonympha,tullia,Coenonympha tullia,0,ex,x 1974,–,,"ZM, NM",2,⬤,§,Großes Wiesenvögelchen
Nymphalidae,Edelfalter,"Pyronia HÜBNER, 1819 ","tithonus (LINNAEUS, 1767)",Pyronia,tithonus,Pyronia tithonus,0,ex,x vor 1900,–,,WRS,*,⬤,,Rotbraunes-Ochsenauge
Nymphalidae,Edelfalter,"Erebia DALMAN, 1816","aethiops (ESPER, 1777)",Erebia,aethiops,Erebia aethiops,0,ex,x vor 1956,–,,WRS,3,o,,Graubindiger-Mohrenfalter
Nymphalidae,Edelfalter,"Erebia DALMAN, 1816","medusa (DEN. & SCHIFF., 1775)",Erebia,medusa,Erebia medusa,0,ex,x vor 1900,–,,?,V,o,,Rundaugen-Mohrenfalter
Nymphalidae,Edelfalter,"Hipparchia FABRICIUS, 1807","statilinus (HUFNAGEL, 1766)",Hipparchia,statilinus,Hipparchia statilinus,0,ex,x vor 1900,–,,SGF,1,⬤,§§,Eisenfarbener Samtfalter
Nymphalidae,Edelfalter,"Hipparchia FABRICIUS, 1807","alcyone (DEN. & SCHIFF.,1775)",Hipparchia,alcyone,Hipparchia alcyone,0,ex,x 1975,–,,WRS,*,⬤,§§,Kleiner Waldportier
Geometridae,Spanner,"Idaea TREITSCHKE, 1825","pallidata (DEN. & SCHIFF., 1775)",Idaea,pallidata,Idaea pallidata,0,ex,x vor 1900,–,,MW,1,o,,Blasser Zwergspanner
Geometridae,Spanner,"Scopula SCHRANK, 1802 ","corrivalaria (KRETSCHMAR, 1862)",Scopula,corrivalaria,Scopula corrivalaria,0,ex,x 1963,–,,NM,1,⬤,,Feuchtwiesen-Kleinspanner
Geometridae,Spanner,"Scopula SCHRANK, 1802 ","virgulata (DEN. & SCHIFF., 1775)",Scopula,virgulata,Scopula virgulata,0,ex,x 1970,–,,"TR, WRS",1,⬤,,Braungestreifter Kleinspanner
Geometridae,Spanner,"Scopula SCHRANK, 1802 ","ornata (SCOPOLI, 1763)",Scopula,ornata,Scopula ornata,0,ex,x 1969,–,,TR,V,⬤,,Schmuck-Kleinspanner
Geometridae,Spanner,"Scopula SCHRANK, 1802","decorata (DEN. & SCHIFF., 1775)",Scopula,decorata,Scopula decorata,0,ex,x 1900,–,,TR,3,⬤,§§,Sandthymian-Kleinspanner
Geometridae,Spanner,"Rhodostrophia HÜBNER, 1823","vibicaria (CLERCK, 1759)",Rhodostrophia,vibicaria,Rhodostrophia vibicaria,0,ex,x 1986,–,,CH,V,⬤,,Rotbandspanner
Geometridae,Spanner,"Phibalapteryx STEPHENS, 1829","virgata (HUFNAGEL, 1767)",Phibalapteryx,virgata,Phibalapteryx virgata,0,ex,x 1949,–,,TR,2,⬤,,Streifenspanner
Geometridae,Spanner,"Scotopteryx HÜBNER, 1825","moeniata (SCOPOLI, 1763)",Scotopteryx,moeniata,Scotopteryx moeniata,0,ex,x 1969,,,BGH,2,⬤,,Winkelbinden-Wellenstriemenspanner
Geometridae,Spanner,"Xanthorhoe HÜBNER, 1825","biriviata (BORKHAUSEN, 1794)",Xanthorhoe,biriviata,Xanthorhoe biriviata,0,ex,x 1975,–,,BW,*,⬤,,Springkraut-Blattspanner
Geometridae,Spanner,"Spargania GUENÉE, 1857","luctuata (DEN. & SCHIFF., 1775)",Spargania,luctuata,Spargania luctuata,0,ex,x 1969,–,,?,V,o,,Schwarzweißer Weiden-röschenspanner
Geometridae,Spanner,"Asthena HÜBNER, 1825","anseraria (HERR. -SCHÄFF., 1855)",Asthena,anseraria,Asthena anseraria,0,ex,x 1977,–,,"HE, WRS, BW",V,⬤,,Gepunkteter Zierspanner
Geometridae,Spanner,"Rheumaptera HÜBNER, 1822","hastata (LINNAEUS, 1758)",Rheumaptera,hastata,Rheumaptera hastata,0,ex,x vor 1900,–,,KWB,3,⬤,,Großer Speerspanner
Geometridae,Spanner,"Triphosa STEPHENS, 1829","dubitata (LINNAEUS, 1758)",Triphosa,dubitata,Triphosa dubitata,0,ex,x 1981,–,,HE,V,⬤,,Olivbrauner Höhlenspanner
Geometridae,Spanner,"Horisme HÜBNER, 1825","aquata (HÜBNER, 1813)",Horisme,aquata,Horisme aquata,0,ex,x vor 1900,–,,TR,*,o,,Küchenschellen-Waldrebenspanner
Geometridae,Spanner,"Perizoma HÜBNER, 1825","blandiata (DEN. & SCHIFF., 1775)",Perizoma,blandiata,Perizoma blandiata,0,ex,x 1961,–,,MW,2,o,,Augentrost-Kapselspanner
Geometridae,Spanner,"Perizoma HÜBNER, 1825","albulata (DEN. & SCHIFF., 1775)",Perizoma,albulata,Perizoma albulata,0,ex,x,x 1992,declining,MW,V,⬤,,Klappertopf-Kapselspanner
Geometridae,Spanner,"Pasiphila MEYRICK, 1883","debiliata (HÜBNER, 1817)",Pasiphila,debiliata,Pasiphila debiliata,0,ex,x 1962,–,,KWB,*,⬤,,Heidelbeer-Blütenspanner
Geometridae,Spanner,"Eupithecia CURTIS, 1825","analoga (JAKONOV, 1926",Eupithecia,analoga,Eupithecia analoga,0,ex,x 1974,–,,NW(F),*,o,,Fichtengallen-Blütenspanner
Geometridae,Spanner,"Eupithecia CURTIS, 1825","pygmaeata (HÜBNER, 1799)",Eupithecia,pygmaeata,Eupithecia pygmaeata,0,ex,x 1986,–,,"MW, NM",V,⬤,,Zwerg-Blütenspanner
Geometridae,Spanner,"Eupithecia CURTIS, 1825","pimpinellata (HÜBNER, 1813)",Eupithecia,pimpinellata,Eupithecia pimpinellata,0,ex,x 1986,–,,"MW, HSF",V,⬤,,Bibernellen-Blütenspanner
Geometridae,Spanner,"Eupithecia CURTIS, 1825","trisignaria (ERR. -SCHÄFF., 1848",Eupithecia,trisignaria,Eupithecia trisignaria,0,ex,x 1960,–,,"WRS, BW",*,⬤,,Bergwald-Doldengewächs-Blütenspanner
Geometridae,Spanner,"Eupithecia CURTIS, 1825","goossensiata (ABILLE, 1869",Eupithecia,goossensiata,Eupithecia goossensiata,0,ex,x 1920,–,,CH,G,⬤,,Goossens Heidekraut-Blütenspanner
Geometridae,Spanner,"Aplocera STEPHENS, 1827","efformata ( GUENÉE, 1857)",Aplocera,efformata,Aplocera efformata,0,ex,x 1974,–,,"TR, WRS",*,⬤,,Sandheiden-Johanniskrautspanner
Geometridae,Spanner,"Chesias TREITSCHKE, 1825","rufata (FABRICIUS, 1775)",Chesias,rufata,Chesias rufata,0,ex,x 1988,–,,BGH,3,⬤,,Früher Ginsterspanner
Geometridae,Spanner,"Macaria CURTIS, 1826","signaria (HÜBNER, 1809)",Macaria,signaria,Macaria signaria,0,ex,x 1985,–,,NW(F),*,⬤,,Braungrauer Eckflügelspanner
Geometridae,Spanner,"Isturgia HÜBNER, 1823","famula (ESPER, 1787)",Isturgia,famula,Isturgia famula,0,ex,x vor 1900,–,,BGH,1,⬤,,Gebänderter Besenginsterspanner
Geometridae,Spanner,"Pachycnemia STEPHENS, 1829","hippocastanaria (HÜBNER, 1799)",Pachycnemia,hippocastanaria,Pachycnemia hippocastanaria,0,ex,"x, E vor 1900",–,,CH,V,⬤,,Schmalflügeliger Heidekrautspanner
Geometridae,Spanner,"Epione DUPONCHEL, 1829","vespertaria (LINNAEUS, 1767)",Epione,vespertaria,Epione vespertaria,0,ex,x vor 1900,–,,?WRS,1,⬤,,Espen-Saumbandspanner
Geometridae,Spanner,"Pseudopanthera HÜBNER, 1823","macularia (LINNAEUS, 1758)",Pseudopanthera,macularia,Pseudopanthera macularia,0,ex,x vor 1955,–,,WRS,*,⬤,,Pantherspanner
Geometridae,Spanner,"Ennomos TREITSCHKE, 1825","quercinaria (HUFNAGEL, 1767)",Ennomos,quercinaria,Ennomos quercinaria,0,ex,x 1986,–,,BuW,*,⬤,,Eichen-Zackenrandspanner
Geometridae,Spanner,"Arichanna MOORE, 1868","melanaria (LINNAEUS, 1758)",Arichanna,melanaria,Arichanna melanaria,0,ex,x 1961,–,,ZM,2,⬤,§,Gefleckter Rauschbeerenspanner
Geometridae,Spanner,"Fagivorina WEHRLI, 1943","arenaria (HUFNAGEL, 1767)",Fagivorina,arenaria,Fagivorina arenaria,0,ex,x 1940,–,,"BuW, EW",1,o,§§,Scheckiger Rindenspanner
Geometridae,Spanner,"Paradarisa WARREN, 1894","consonaria (HÜBNER, 1799)",Paradarisa,consonaria,Paradarisa consonaria,0,ex,x vor 1955,–,,BuW,*,⬤,,Glattbindiger Rindenspanner
Geometridae,Spanner,"Tephronia HÜBNER, 1825","sepiaria (HUFNAGEL, 1767)",Tephronia,sepiaria,Tephronia sepiaria,0,ex,x 1920,–,,VG (Flechten),R,o,§§,Totholz-Flechtenspanner
Geometridae,Spanner,"Charissa CURTIS, 1826","ambiguata (DUPONCHEL, 1830)",Charissa,ambiguata,Charissa ambiguata,0,ex,x vor 1950,–,,LKW,3,⬤,,Ungebänderter Steinspanner
Geometridae,Spanner,"Cleorodes WARREN, 1894","lichenaria (HUFNAGEL, 1767)",Cleorodes,lichenaria,Cleorodes lichenaria,0,ex,x 1940,–,"""=""","LMW, VG (Flechten)",1,o,§§,Grüner Flechten-Rindenspanner
Geometridae,Spanner,"Perconia HÜBNER, 1823","strigillaria (HÜBNER, 1787)",Perconia,strigillaria,Perconia strigillaria,0,ex,x 1940,–,,"CH, BGH",3,⬤,,Heide-Streifenspanner
Geometridae,Spanner,"Chlorissa STEPHENS, 1831","viridata (LINNAEUS, 1758)",Chlorissa,viridata,Chlorissa viridata,0,ex,x 1940,–,,"CH, ZM,",3,⬤,,Steppenheiden-Grünspanner
Notodontidae,Zahnspinner,"Notodonta OCHSENHEIMER, 1810","torva (HÜBNER, 1803)",Notodonta,torva,Notodonta torva,0,ex,x vor 1900 oder 1940,–,,BW?,V,⬤,,Gelbbrauner Zahnspinner
Notodontidae,Zahnspinner,"Drymonia HÜBNER, 1819","obliterata (ESPER, 1785)",Drymonia,obliterata,Drymonia obliterata,0,ex,x 1939,–,,"BuW, WRS",*,⬤,,Schwarzeck-Zahnspinner
