Gattung,Artname,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
"Scopula SCHRANK, 1802","decorata (DEN. & SCHIFF., 1775)",0,ex,x 1900,–,,TR,3,⬤,§§,Sandthymian-Kleinspanner
"Rhodostrophia HÜBNER, 1823","vibicaria (CLERCK, 1759)",0,ex,x 1986,–,,CH,V,⬤,,Rotbandspanner
"Phibalapteryx STEPHENS, 1829","virgata (HUFNAGEL, 1767)",0,ex,x 1949,–,,TR,2,⬤,,Streifenspanner
"Scotopteryx HÜBNER, 1825","moeniata (SCOPOLI, 1763)",0,ex,x 1969,,,BGH,2,⬤,,Winkelbinden-Wellenstriemenspanner
"Xanthorhoe HÜBNER, 1825","biriviata (BORKHAUSEN, 1794)",0,ex,x 1975,–,,BW,*,⬤,,Springkraut-Blattspanner
"Spargania GUENÉE, 1857","luctuata (DEN. & SCHIFF., 1775)",0,ex,x 1969,–,,?,V,o,,Schwarzweißer Weiden-röschenspanner
"Asthena HÜBNER, 1825","anseraria (HERR. -SCHÄFF., 1855)",0,ex,x 1977,–,,"HE, WRS, BW",V,⬤,,Gepunkteter Zierspanner
"Rheumaptera HÜBNER, 1822","hastata (LINNAEUS, 1758)",0,ex,x vor 1900,–,,KWB,3,⬤,,Großer Speerspanner
"Triphosa STEPHENS, 1829","dubitata (LINNAEUS, 1758)",0,ex,x 1981,–,,HE,V,⬤,,Olivbrauner Höhlenspanner
"Horisme HÜBNER, 1825","aquata (HÜBNER, 1813)",0,ex,x vor 1900,–,,TR,*,o,,Küchenschellen-Waldrebenspanner
"Perizoma HÜBNER, 1825","blandiata (DEN. & SCHIFF., 1775)",0,ex,x 1961,–,,MW,2,o,,Augentrost-Kapselspanner
"Perizoma HÜBNER, 1825","albulata (DEN. & SCHIFF., 1775)",0,ex,x,x 1992,declining,MW,V,⬤,,Klappertopf-Kapselspanner
"Pasiphila MEYRICK, 1883","debiliata (HÜBNER, 1817)",0,ex,x 1962,–,,KWB,*,⬤,,Heidelbeer-Blütenspanner
"Eupithecia CURTIS, 1825","analoga (JAKONOV, 1926",0,ex,x 1974,–,,NW(F),*,o,,Fichtengallen-Blütenspanner
"Eupithecia CURTIS, 1825","pygmaeata (HÜBNER, 1799)",0,ex,x 1986,–,,"MW, NM",V,⬤,,Zwerg-Blütenspanner
"Eupithecia CURTIS, 1825","pimpinellata (HÜBNER, 1813)",0,ex,x 1986,–,,"MW, HSF",V,⬤,,Bibernellen-Blütenspanner
"Eupithecia CURTIS, 1825","trisignaria (ERR. -SCHÄFF., 1848",0,ex,x 1960,–,,"WRS, BW",*,⬤,,Bergwald-Doldengewächs-Blütenspanner
"Eupithecia CURTIS, 1825","goossensiata (ABILLE, 1869",0,ex,x 1920,–,,CH,G,⬤,,Goossens Heidekraut-Blütenspanner
"Aplocera STEPHENS, 1827","efformata ( GUENÉE, 1857)",0,ex,x 1974,–,,"TR, WRS",*,⬤,,Sandheiden-Johanniskrautspanner
"Chesias TREITSCHKE, 1825","rufata (FABRICIUS, 1775)",0,ex,x 1988,–,,BGH,3,⬤,,Früher Ginsterspanner
"Macaria CURTIS, 1826","signaria (HÜBNER, 1809)",0,ex,x 1985,–,,NW(F),*,⬤,,Braungrauer Eckflügelspanner
"Isturgia HÜBNER, 1823","famula (ESPER, 1787)",0,ex,x vor 1900,–,,BGH,1,⬤,,Gebänderter Besenginsterspanner
"Pachycnemia STEPHENS, 1829","hippocastanaria (HÜBNER, 1799)",0,ex,"x, E vor 1900",–,,CH,V,⬤,,Schmalflügeliger Heidekrautspanner
"Epione DUPONCHEL, 1829","vespertaria (LINNAEUS, 1767)",0,ex,x vor 1900,–,,?WRS,1,⬤,,Espen-Saumbandspanner
"Pseudopanthera HÜBNER, 1823","macularia (LINNAEUS, 1758)",0,ex,x vor 1955,–,,WRS,*,⬤,,Pantherspanner
"Ennomos TREITSCHKE, 1825","quercinaria (HUFNAGEL, 1767)",0,ex,x 1986,–,,BuW,*,⬤,,Eichen-Zackenrandspanner
"Arichanna MOORE, 1868","melanaria (LINNAEUS, 1758)",0,ex,x 1961,–,,ZM,2,⬤,§,Gefleckter Rauschbeerenspanner
"Fagivorina WEHRLI, 1943","arenaria (HUFNAGEL, 1767)",0,ex,x 1940,–,,"BuW, EW",1,o,§§,Scheckiger Rindenspanner
"Paradarisa WARREN, 1894","consonaria (HÜBNER, 1799)",0,ex,x vor 1955,–,,BuW,*,⬤,,Glattbindiger Rindenspanner
"Tephronia HÜBNER, 1825","sepiaria (HUFNAGEL, 1767)",0,ex,x 1920,–,,VG (Flechten),R,o,§§,Totholz-Flechtenspanner
"Charissa CURTIS, 1826","ambiguata (DUPONCHEL, 1830)",0,ex,x vor 1950,–,,LKW,3,⬤,,Ungebänderter Steinspanner
"Cleorodes WARREN, 1894","lichenaria (HUFNAGEL, 1767)",0,ex,x 1940,–,"""=""","LMW, VG (Flechten)",1,o, §§,Grüner Flechten-Rindenspanner
"Perconia HÜBNER, 1823","strigillaria (HÜBNER, 1787)",0,ex,x 1940,–,,"CH, BGH",3,⬤,,Heide-Streifenspanner
"Chlorissa STEPHENS, 1831","viridata (LINNAEUS, 1758)",0,ex,x 1940,–,,"CH, ZM,",3,⬤,,Steppenheiden-Grünspanner
"Notodonta OCHSENHEIMER, 1810","torva (HÜBNER, 1803)",0,ex,x vor 1900 oder 1940,–,,BW?,V,⬤,,Gelbbrauner Zahnspinner
"Drymonia HÜBNER, 1819","obliterata (ESPER, 1785)",0,ex,x 1939,–,,"BuW, WRS",*,⬤,,Schwarzeck-Zahnspinner
"Nola LEACH, 1815","aerugula (HÜBNER, 1793)",0,ex,x,–,,"CH, ZM, BW",V,⬤,§,Laubholz-Graueulchen
"Nycteola HÜBNER, 1822","asiatica (KRULIKOVSKY, 1904)",D,ex,x 1951,–,,?,D,⬤,,Weiden-Wicklereulchen
"Laelia STEPHENS, 1828","coenosa (HÜBNER, 1808)",0,ex,x vor 1900,–,,"ROE, ZM",2,⬤,,Gelbbein
"Gynaephora HÜBNER, 1819","fascelina (LINNAEUS, 1758)",0,ex,x 1975,–,,"BGH, CH",2,⬤,,Ginster-Streckfuß
"Orgyia OCHSENHEIMER, 1810","recens (HÜBNER, 1819)",0,ex,x 1962,–,,"?(LMW, BW)",1,o,§,Eckfleck-Bürstenspinner
"Epatolmis BUTLER, 1877","luctifera (DEN. & SCHIFF., 1775)",0,ex,x 1966,–,,TR,2,⬤,,Kaiserbär
"Arctia SCHRANK, 1802","festiva (HUFNAGEL, 1766)",0,ex,x 1936,–,,TR,0,o,§,Englischer Bär
"Arctia SCHRANK, 1802","villica (LINNAEUS, 1758)",0,ex,x 1960,–,,HE,2,⬤,§§,Schwarzer  Bär
"Hyphoraia HÜBNER, 1820","aulica (LINNAEUS, 1758)",0,ex,x vor 1858,–,,"TR, CH",1,⬤,§§,Hofdame
"Eilema HÜBNER, 1819","lurideola (ZINCKEN, 1817)",0,ex,x 1979,–,,"BuW, KWB",*,⬤,,Grauleib-Flechtenbärchen
"Eilema HÜBNER, 1819","palliatella (SCOPOLI, 1763)",0,ex,x vor 1900,–,,TR (Flechten),1,o,,Ockergelbes Flechtenbärchen
