Gattung,Artname,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
"Setina SCHRANK, 1802","irrorella (LINNAEUS, 1758)",0,ex,x vor 1950?,–,,TR (Flechten),V,⬤,§,Trockenrasen-Flechtenbärchen
"Dysauxes HÜBNER, 1819","ancilla (LINNAEUS, 1767)",0,ex,x 1952,–,,"WRS, EW, WS",3,⬤,,Grosses Braunwidderchen
"Idia HÜBNER, 1813","calvaria (DEN. & SCHIFF., 1775)",0,ex,x 1975,–,,BW,1,⬤,,Dunkelbraune Spannereule
"Simplicia GUENÉE, 1854","rectalis (EVERSMANN, 1842)",0,ex,x vor 1900,–,,EW,1,⬤,,Schmalflügelige Spannereule
"Zanclognatha LEDERER, 1857","lunalis (SCOPOLI, 1763)",0,ex,x 1958,–,,?,2,o,,Felsbuschwald-Spannereule
"Lygephila BILLBERG, 1820","viciae (HÜBNER, 1822)",0,ex,x vor 1900,–,,WRS,3,⬤,,Marmorierte Wickeneule
"Phytometra HAWORTH, 1809","viridaria (CLERCK, 1759)",0,ex,x vor 1955,–,,"TR, MW",3,⬤,,Kreuzblumen-Bunteulchen
"Catephia OCHSENHEIMER, 1816","alchymista (DEN. & SCHIFF., 1775)",0,ex,x 1989,–,,WRS (Eiche),2,⬤,,Weißes Ordensband
"amprotes REICHENBACH, 1817","c-aureum (KNOCH, 1781)",0,ex,x 1940,–,,BW,2,⬤,,Wiesenrauten-Goldeule
"Syngrapha HÜBNER, 1821","interrogationis (LINNAEUS, 1758)",♦,ex,x 1920,–,,"KWB, ZM",R,o,,Heidelbeeren-Silbereule
"Acontia OCHSENHEIMER, 1816","lucida (HUFNAGEL, 1766)",0,ex,x vor 1900,–,,"TR, RF",1,o,§§,Malveneule
" Acronicta OCHSENHEIMER, 1816","strigosa (DEN. & SCHIFF., 1775)",0,ex,x 1940,–,,"BW, HE",3,⬤,,Striemen-Rindeneule
" Acronicta OCHSENHEIMER, 1816","menyanthidis (ESPER, 1789)",0,ex,x 1940,–,,ZM,2,⬤,,Heidemoor-Rindeneule
"Panemeria HÜBNER, 1823","tenebrata (SCOPOLI, 1763)",0,ex,x 1975,–,,"TR, MW",*,⬤,,Hornkraut-Tageulchen
"Cucullia SCHRANK, 1802","lactucae (DEN. & SCHIFF., 1775)",0,ex,x vor 1900,–,,?,V,o,§,Lattich-Mönch
"Cucullia SCHRANK, 1802","asteris (DEN. & SCHIFF., 1775)",0,ex,x vor 1900,–,,"? (VG, TR)",3,⬤,§,Astern-Mönch
"Amphipyra OCHSENHEIMER, 1816","livida (DEN. & SCHIFF., 1775)",0,ex,x vor 1900,–,,?,1,o,§§,Tiefschwarze Glanzeule
"Periphanes HÜBNER, 1821","delphinii (LINNAEUS, 1758)",0,ex,x vor 1900,–,,"RF, AF",0,o,§§,Rittersporn-Sonneneule
"Acosmetia STEPHENS, 1829","caliginosa (HÜBNER, 1813)",0,ex,x vor 1942,–,,MW,1,⬤,§§,Färberscharteneule
"Bryophila TREITSCHKE, 1825","domestica (HUFNAGEL, 1766)",0,ex,x vor 1940,–,,VG (Stein-Flechten),V,⬤,,Weißliche Flechteneule
"Athetis HÜBNER, 1821","pallustris (HÜBNER, 1808)",0,ex,x 1969,–,,MW,2,⬤,,Wiesen-Staubeule
"Mormo OCHSENHEIMER, 1816","maura (LINNAEUS, 1758)",0,ex,x vor 1900,–,,WHA,V,⬤,,Schwarzes Ordensband
"Celaena STEPHENS, 1829","haworthii (CURTIS, 1829)",0,ex,x 1950,–,,ZM,2,⬤,,Haworths Mooreule
"Eremobia STEPHENS, 1829","ochroleuca (DEN. & SCHIFF., 1775)",0,ex,x vor 1942,–,,TR,2,⬤,,Ockerfarbene Queckeneule
"Amphipoea BILLBERG, 1820","lucens (FREYER, 1845)",0,ex,x vor 1955,–,,ZM,3,⬤,,Moor-Stängeleule
"Globia FIBIGER, ZILLI, L. RONKAY & GOLDSTEIN, 2010","algae (ESPER, 1789)",0,ex,x 1954,–,,ROE,2,⬤,,Teichröhricht-Schilfeule
"Pabulatrix SUGI, 1982","pabulatricula (BRAHM, 1791)",0,ex,x vor 1900,–,,EW,1,o,,Helle Pfeifengras-Grasbüscheleule
"Hyppa DUPONCHEL, 1845","rectilinea (ESPER, 1788)",0,ex,x 1974,–,,KWB,3,⬤,,Heidelbeer-Stricheule
"Agrochola HÜBNER, 1821","ruticilla (ESPER, 1791)",0,ex,x 1954,–,,EW (WRS),1,⬤,§§,Graubraune Eichenbuscheule
"Lithophane HÜBNER, 1821","semibrunnea (HAWORTH, 1809)",0,ex,x 1953,–,,?BW,3,⬤,,Schmalflügelige Holzeule
"Lithophane HÜBNER, 1821","lamda (FABRICIUS, 1787)",0,ex,x vor 1900,–,,ZM,1,⬤ , §§,Gagelstrauch-Moor-Holzeule
"Xylena OCHSENHEIMER, 1816","solidaginis (HÜBNER, 1803)",0,ex,x 1965,–,,"KWB, ZM",*,⬤,,Rollflügel-Holzeule
"Cosmia OCHSENHEIMER, 1816","diffinis (LINNAEUS, 1767)",0,ex,x 1969,–,,Auwälder,2,⬤,,Weißflecken-Ulmeneule
"Dicycla GUENEE, 1852","oo (LINNAEUS, 1758)",0,ex,x vor 1900,–,,EW,3,⬤,,Eichen-Nulleneule
"Aporophyla GUENEE, 1841","nigra (HAWORTH, 1809)",0,ex,x vor 1900,–,,"CH, BGH",2,⬤ , §§,Schwarze Glattrückeneule
"Polymixis HÜBNER, 1820","polymita (LINNAEUS, 1761)",0,ex,x vor 1900,–,,?,1,o,,Olivbraune Steineule
"Polymixis HÜBNER, 1820","flavicincta (DEN. & SCHIFF., 1775)",♦,ex,x vor 1982 (?E),–,,VG?,1,⬤,,Gelbliche Steineule
"Mniotype FRANCLEMONT, 1941","adusta (ESPER, 1790)",0,ex,x 1950,–,,"CH, WS, LKW",3,⬤,,Rotbraune Waldrandeule
"Orthosia OCHSENHEIMER, 1816","opima (HÜBNER, 1809)",0,ex,x 1980,–,,KWB,3,⬤,,Opima-Kätzcheneule
"Coranarta HACKER, 1998","cordigera (THUNBERG, 1788)",0,ex,x 1956,–,,ZM,1,⬤,,Moor-Bunteule
"Lacanobia BILLBERG, 1820","aliena (HÜBNER, 1808)",0,ex,x vor 1900,–,,CH,3,⬤,,Trockenrasen-Kräutereule
"Papestra SUKHAREVA, 1973","biren (GOEZE, 1781)",0,ex,x 1959,–,,KWB,V,⬤,,Moorwald-Blättereule
"Hadena SCHRANK, 1802","confusa (HUFNAGEL, 1766)",0,ex,x 1940,–,,TR,3,⬤,,Marmorierte Nelkeneule
"Hadena SCHRANK, 1802","irregularis (HUFNAGEL, 1766)",0,ex,x vor 1900,–,,TR,1,⬤,,Gipskraut-Nelkeneule
"Actebia STEPHENS, 1829","praecox (LINNAEUS, 1758)",0,ex,x 1978,–,,TR,1,⬤,,Grünliche Erdeule
