,Species,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Common_name
10,"fusconebulosa (DEGEER, 1778)",0,ex,x 1973,–,,LKW,V,⬤,,00069  Adlerfarn-Wurzelbohrer
20,"asella (DEN. & SCHIFF., 1775)",0,ex,x 1978,–,,LMW,V,⬤,,"03912 
Kleiner Schneckenspinner"
6,"purpuralis (BRUENNICH, 1763)",0,ex,x,–,,TR,V,⬤,§,"03974 
Thymian-Widderchen"
5,"quercus (LINNAEUS, 1758)",0,ex,x 1973,–,,LKW,*,⬤,,Eichenspinner
10,"crataegi (LINNAEUS, 1758)",0,ex,x 1975,–,,HE,*,⬤,,06731  Weißdornspinner
21,"populifolia (DEN. & SCHIFF., 1775)",0,ex,x 1959,–,,WHA,1,⬤,§§,Pappelglucke
23,"tremulifolia (HÜBNER, 1810)",0,ex,x 1967,–,,LMW,3,⬤,§,Eichenglucke
17,"t
i
tyus (LINNAEUS, 1758)",0,ex,x 1940,–,,TR,2,⬤,§,"06839 
Skabiosenschwärmer"
6,"t
i
thonus (LINNAEUS, 1767)",0,ex,x vor,–,,WRS,*,⬤,,Rotbraunes-Ochsenauge
9,"aethiops (ESPER, 1777)",0,ex,x vor,–,,WRS,3,,,07372  Graubindiger-Mohrenfalter
11,"medusa (DEN. & SCHIFF., 1775)",0,ex,x vor,–,,?,V,,,Rundaugen-Mohrenfalter
16,"statilinus (HUFNAGEL, 1766)",0,ex,x vor,–,,SGF,1,⬤,§§,Eisenfarbener Samtfalter
19,"a
l
cyone (DEN. & SCHIFF.,1775)",0,ex,x 1975,–,,WRS,*,⬤,§§,Kleiner Waldportier
6,"s
i
l
v
i
cola (MEIGEN, 1829)",0,ex,x 1980,–,,BW,2,⬤,,Schwarzkolbiger Gold-
11,"helle (DEN. & SCHIFF., 1775)",0,ex,x 1957,–,,MW,2,⬤,"§§, II,",Blauschillernder Feuerfalter
20,"h
i
ppothoe (LINNAEUS, 1761)",0,ex,x 1981,–,,NM,3,⬤,§,Lilagold-Feuerfalter
7,"spini (DEN. & SCHIFF., 1775)",0,ex,x 1957,–,,HE?,3,⬤,,"07064 
Kreuzdorn-Zipfelfalter"
14,"coridon (PODA, 1761)",0,ex,x 1920,–,,TR-b,*,⬤,§,"07173 
Silbergrüner Bläuling"
18,"eumedon (ESPER, 1780)",0,ex,x vor,–,,"NM, MW",3,,,"07143 
Storchschnabel-Bläuling"
