,Species,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Common_name
3,"decorata (DEN. & SCHIFF., 1775)",0,ex,x 1900,–,,TR,3,⬤,§§,Sandthymian-Kleinspanner
12,"v
i
b
i
caria (CLERCK, 1759)",0,ex,x 1986,–,,CH,V,⬤,,Rotbandspanner
14,"v
i
rgata (HUFNAGEL, 1767)",0,ex,x 1949,–,,TR,2,⬤,,Streifenspanner
18,"moeniata (SCOPOLI, 1763)",0,ex,x 1969,,,BGH,2,⬤,,Winkelbinden-
5,"b
i
r
i
v
i
ata (BORKHAUSEN, 1794)",0,ex,x 1975,–,,BW,*,⬤,,Springkraut-Blattspanner
17,"l
uctuata (DEN. & SCHIFF., 1775)",0,ex,x 1969,–,,?,V,,,Schwarzweißer Weiden-
20,"anseraria (HERR. -SCHÄFF., 1855)",0,ex,x 1977,–,,"HE, WRS,",V,⬤,,Gepunkteter Zierspanner
9,"hastata (LINNAEUS, 1758)",0,ex,x vor,–,,KWB,3,⬤,,08419  Großer Speerspanner
17,"dubitata (LINNAEUS, 1758)",0,ex,x 1981,–,,HE,V,⬤,,livbrauner
5,"aquata (HÜBNER, 1813)",0,ex,x vor,–,,TR,*,,,"Küchenschellen-
08409"
20,"b
l
andiata (DEN. & SCHIFF., 1775)",0,ex,x 1961,–,,MW,2,,,08462  Augentrost-Kapselspanner
21,"a
l
bulata (DEN. & SCHIFF., 1775)",0,ex,x,x,,MW,V,⬤,,"08463 
Klappertopf-Kapselspanner"
15,"debiliata (HÜBNER, 1817)",0,ex,x 1962,–,,KWB,*,⬤,,08605  Heidelbeer-Blütenspanner
21,"analoga (JAKONOV, 1926",0,ex,x 1974,–,,NW(F),*,,,"Fichtengallen-
08482"
5,"pygmaeata (HÜBNER, 1799)",0,ex,"x 1986 
 –",–,,"MW, NM",V,⬤,,"08495 
Zwerg-Blütenspanner"
19,"p
i
mpinellata (HÜBNER, 1813)",0,ex,"x 1986 
 –",–,,"MW, HSF",V,⬤,,"08567 
Bibernellen-Blütenspanner"
5,"trisignaria (ERR. -SCHÄFF., 1848",0,ex,x 1960,–,,"WRS, BW",*,⬤,,Bergwald-Doldengewächs-
13,"goossensiata (ABILLE, 1869",0,ex,x 1920,–,,CH,G,⬤,,Goossens Heidekraut-
8,"efformata ( GUENÉE, 1857)",0,ex,x 1974,–,,"TR, WRS",*,⬤,,"Sandheiden-
 
08622"
12,"rufata (FABRICIUS, 1775)",0,ex,x 1988,–,,BGH,3,⬤,,"08610 
Früher Ginsterspanner"
25,"s
i
gnaria (HÜBNER, 1809)",0,ex,x 1985,–,,NW(F),*,⬤,07541,Braungrauer
4,"h
i
ppocastanaria (HÜBNER, 1799)",0,ex,"x, E vor",–,,CH,V,⬤,,"Schmalflügeliger 
07609"
11,"vespertaria (LINNAEUS, 1767)",0,ex,x vor,–,,?WRS,1,⬤,,"07616 
Espen-Saumbandspanner"
14,"macularia (LINNAEUS, 1758)",0,ex,x vor,–,,WRS,*,⬤,,"07620 
Pantherspanner"
22,"quercinaria (HUFNAGEL, 1767)",0,ex,x 1986,–,,BuW,*,⬤,,"07633 
Eichen-Zackenrandspanner"
7,"melanaria (LINNAEUS, 1758)",0,ex,x 1961,–,,ZM,2,⬤,§,efleckter
13,"arenaria (HUFNAGEL, 1767)",0,ex,x 1940,–,,"BuW, EW",1,,§§,Scheckiger Rindenspanner
20,"consonaria (HÜBNER, 1799)",0,ex,x vor,–,,BuW,*,⬤,,Glattbindiger
6,"sepiaria (HUFNAGEL, 1767)",0,ex,x 1920,–,,VG,R,,§§,Totholz-Flechtenspanner
25,"ambiguata (DUPONCHEL, 1830)",0,ex,x vor,–,,LKW,3,⬤,,Ungebänderter
4,"l
i
chenaria (HUFNAGEL, 1767)",0,ex,x 1940,–,=,"LMW, VG",1," 
 §§",,"Grüner Flechten-
07790"
10,"strigillaria (HÜBNER, 1787)",0,ex,x 1940,–,,"CH, BGH",3,⬤,,07939  Heide-Streifenspanner
17,"torva (HÜBNER, 1803)",0,ex,1900,–,,BW?,V,⬤,,08717  Gelbbrauner Zahnspinner
8,"obliterata (ESPER, 1785)",0,ex,x 1939,–,,"BuW, WRS",*,⬤,,"08723 
Schwarzeck-Zahnspinner"
19,"aerugula (HÜBNER, 1793)",0,ex,x,–,,"CH, ZM,",V,⬤,§,"10431 
Laubholz-Graueulchen"
9,"asiatica (KRULIKOVSKY, 1904)",D,ex,x 1951,–,,?,D,⬤,,10444  Weiden-Wicklereulchen
17,"coenosa (HÜBNER, 1808)",0,ex,x vor,–,,"ROE, ZM",2,⬤,,10410  Gelbbein 
22,"fascelina (LINNAEUS, 1758)",0,ex,x 1975,–,,"BGH, CH",2,⬤,,10392  Ginster-Streckfuß 
24,"recens (HÜBNER, 1819)",0,ex,x 1962,–,,"?(LMW,",1,,§,10396 Eckfleck-Bürstenspinner
10,"l
uctifera (DEN. & SCHIFF., 1775)",0,ex,x 1966,–,,TR,2,⬤,,Kaiserbär
23,"festiva (HUFNAGEL, 1766)",0,ex,x 1936,–,,TR,0,,§,Englischer Bär
24,"v
i
l
l
i
ca (LINNAEUS, 1758)",0,ex,x 1960,–,,HE,2,⬤,§§,Schwarzer  Bär
4,"aulica (LINNAEUS, 1758)",0,ex,x vor,–,,"TR, CH",1,⬤,§§,10585  Hofdame
16,"l
urideola (ZINCKEN, 1817)",0,ex,x 1979,–,,"BuW, KWB",*,⬤,10489,Grauleib-Flechtenbärchen
20,"palliatella (SCOPOLI, 1763)",0,ex,x vor,–,,TR,1,,10494,Ockergelbes
