,Species,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Common_name
6,"i
rrorella (LINNAEUS, 1758)",0,ex,x vor,–,,TR,V,⬤,§,"Trockenrasen-
10509"
12,"ancilla (LINNAEUS, 1767)",0,ex,x 1952,–,,"WRS, EW,",3,⬤,,"10521 
Grosses Braunwidderchen"
15,"calvaria (DEN. & SCHIFF., 1775)",0,ex,x 1975,–,,BW,1,⬤,,"08835 
Dunkelbraune Spannereule"
17,"rectalis (EVERSMANN, 1842)",0,ex,x vor,–,,EW,1,⬤,,"Schmalflügelige 
08837"
12,"l
unalis (SCOPOLI, 1763)",0,ex,x 1958,–,,?,2,,,elsbuschwald-
22,"v
i
c
i
ae (HÜBNER, 1822)",0,ex,x vor,–,,WRS,3,⬤,,08933  Marmorierte Wickeneule
4,"v
i
r
i
daria (CLERCK, 1759)",0,ex,x vor,–,,"TR, MW",3,⬤,,Kreuzblumen-Bunteulchen
16,"a
l
chymista (DEN. & SCHIFF., 1775)",0,ex,x 1989,–,,WRS,2,⬤,,Weißes Ordensband
6,"c-aureum (KNOCH, 1781)",0,ex,x 1940,–,,BW,2,⬤,,09039  Wiesenrauten-Goldeule
13,"i
nterrogationis (LINNAEUS, 1758)",♦,ex,x 1920,–,,"KWB, ZM",R,,,09074  Heidelbeeren-Silbereule
8,"l
ucida (HUFNAGEL, 1766)",0,ex,x vor,–,,"TR, RF",1,,§§,09100  Malveneule
8,"strigosa (DEN. & SCHIFF., 1775)",0,ex,x 1940,–,,"BW, HE",3,⬤,,"08781 
Striemen-Rindeneule"
9,"menyanthidis (ESPER, 1789)",0,ex,x 1940,–,,ZM,2,⬤,,08782  Heidemoor-Rindeneule
21,"tenebrata (SCOPOLI, 1763)",0,ex,x 1975,–,,"TR, MW",*,⬤,,09338  Hornkraut-Tageulchen
5,"l
actucae (DEN. & SCHIFF., 1775)",0,ex,x vor,–,,?,V,,§,09196 Lattich-Mönch
11,"asteris (DEN. & SCHIFF., 1775)",0,ex,x vor,–,,"? (VG, TR)",3,⬤,§,09221  Astern-Mönch 
3,"l
i
v
i
da (DEN. & SCHIFF., 1775)",0,ex,x vor,–,,?,1, , §§,"09310 
Tiefschwarze Glanzeule"
14,"delphinii (LINNAEUS, 1758)",0,ex,x vor,–,,"RF, AF",0, , §§,"09378 
Rittersporn-Sonneneule"
6,"caliginosa (HÜBNER, 1813)",0,ex,x vor,–,,MW,1,⬤,§§,"09405 
Färberscharteneule"
17,"domestica (HUFNAGEL, 1766)",0,ex,x vor,–,,VG (Stein-,V,⬤,,08816  Weißliche Flechteneule
22,"pallustris (HÜBNER, 1808)",0,ex,x 1969,–,,MW,2,⬤,,09476  Wiesen-Staubeule
7,"maura (LINNAEUS, 1758)",0,ex,x vor,–,,WHA,V,⬤,,"09490 
Schwarzes Ordensband"
6,"haworthii (CURTIS, 1829)",0,ex,x 1950,–,,ZM,2,⬤,,"09856 
Haworths Mooreule"
11,"ochroleuca (DEN. & SCHIFF., 1775)",0,ex,x vor,–,,TR,2,⬤,,"09797 
Ockerfarbene Queckeneule"
20,"l
ucens (FREYER, 1845)",0,ex,x vor,–,,ZM,3,⬤,,09831  Moor-Stängeleule
9,"a
l
gae (ESPER, 1789)",0,ex,"x  
1954",–,,ROE,2,⬤,,Teichröhricht-Schilfeule
11,"pabulatricula (BRAHM, 1791)",0,ex,x vor,–,,EW,1,,,Helle Pfeifengras-
4,"rectilinea (ESPER, 1788)",0,ex,x 1974,–,,KWB,3,⬤,,09508  Heidelbeer-Stricheule
17,"ruticilla (ESPER, 1791)",0,ex,x 1954,–,,EW (WRS),1,⬤,§§,"Graubraune 
09593"
4,"semibrunnea (HAWORTH, 1809)",0,ex,x 1953,–,,?BW,3,⬤,,"09657 
Schmalflügelige Holzeule"
9,"l
amda (FABRICIUS, 1787)",0,ex,x vor,–,,ZM,1,"⬤ 
 §§",,"Gagelstrauch-Moor-
09662"
15,"solidaginis (HÜBNER, 1803)",0,ex,x 1965,–,,"KWB, ZM",*,⬤,,"09655 
Rollflügel-Holzeule"
25,"d
i
ffinis (LINNAEUS, 1767)",0,ex,x 1969,–,,Auwälder,2,⬤,,09546  Weißflecken-Ulmeneule
6,"oo (LINNAEUS, 1758)",0,ex,x vor,–,,EW,3,⬤,,"09544 
Eichen-Nulleneule"
18,"n
i
gra (HAWORTH, 1809)",0,ex,x vor,–,,"CH, BGH",2,"⬤ 
 §§",,"09651 
Schwarze Glattrückeneule"
21,"polymita (LINNAEUS, 1761)",0,ex,x vor,–,,?,1,,,09720  Olivbraune Steineule
24,"f
l
avicincta (DEN. & SCHIFF., 1775)",♦,ex,1982,–,,VG?,1,⬤,,09725  Gelbliche Steineule
4,"adusta (ESPER, 1790)",0,ex,x 1950,–,,"CH, WS,",3,⬤,,"09741 
Rotbraune Waldrandeule"
20,"opima (HÜBNER, 1809)",0,ex,x 1980,–,,KWB,3,⬤,,10042  Opima-Kätzcheneule
11,"cordigera (THUNBERG, 1788)",0,ex,x 1956,–,,ZM,1,⬤,,09908  Moor-Bunteule
4,"a
l
i
ena (HÜBNER, 1808)",0,ex,x vor,–,,CH,3,⬤,,"09913 
Trockenrasen-Kräutereule"
11,"b
i
ren (GOEZE, 1781)",0,ex,x 1959,–,,KWB,V,⬤,,09989  Moorwald-Blättereule
4,"confusa (HUFNAGEL, 1766)",0,ex,x 1940,–,,TR,3,⬤,,09940  Marmorierte Nelkeneule
6,"i
rregularis (HUFNAGEL, 1766)",0,ex,x vor,–,,TR,1,⬤,,09964  Gipskraut-Nelkeneule
9,"praecox (LINNAEUS, 1758)",0,ex,x 1978,–,,TR,1,⬤,,10244  Grünliche Erdeule
11,"cursoria (HUFNAGEL, 1766)",0,ex,x vor,–,,"TR, SGF",2,⬤,,"Veränderliche Dünen-
10284"
21,"aquilina (DEN. & SCHIFF., 1775)",0,ex,x 1977,–,,"TR, AF",*,⬤,,10266  Getreideeule
24,"c
i
nerea (DEN. & SCHIFF., 1775)",0,ex,x 1974,–,,"WS, CH",3,⬤,,10360  Aschgraue Erdeule
12,"dahlii (HÜBNER, 1813)",0,ex,x vor,–,,"ZM, MW",1,,,10090  Moorwiesen-Erdeule
4,"molothina (ESPER, 1789)",0,ex,x vor,–,,CH,3,⬤,,10110  Graue Heidekrauteule
23,"polygona (DEN. & SCHIFF., 1775)",0,ex,x,x,,WRS?,*,⬤,,10169  Vielwinkel-Bodeneule
9,"stigmatica (HÜBNER, 1813)",0,ex,x vor,–,,BuW,*,⬤,,Rhombus-Bodeneule
11,"castanea (ESPER, 1798)",0,ex,x vor,–,,CH,3,⬤,,10207  Ginsterheiden-Bodeneule
