Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Aphodius conspurcatus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius foetidus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius lividus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius niger,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius obliteratus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius paykulli,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Aphodius pictus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Caccobius schreberi,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Copris lunaris,Scarabaeidae,0,,Mondhornkäfer,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Euheptaulacus sus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Euheptaulacus villosus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Gnorimus nobilis,Scarabaeidae,0,,Edelscharrkäfer,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Heptaulacus testudinarius,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Ochodaeus chrysomeloides,Ochodaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Onthophagus illyricus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Onthophagus taurus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Protaetia fieberi,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Rhysothorax rufus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Tropinota hirta,Scarabaeidae,0,,Zottiger Rosenkäfer,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox cadaverinus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox hispidus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox sabulosus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
