Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Hygrobia hermanni,Hygrobiidae,0,"Weißensee, ca. 1900, HORION (1941) (ZMB)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Brychius elevatus,Haliplidae,0,"Tempelhof, ca. 1900, coll. Weiß (ZMB)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus biguttatus,Dytiscidae,0,"Frohnau, Bieselfließ, 1996, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus clypealis,Dytiscidae,0,"Dahlem, NSG Langes Luch, 1987, BH leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus guttatus,Dytiscidae,0,"Frohnau, Bieselfließ, 1996, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus labiatus,Dytiscidae,0,"Tegel, Jungfernheide, ca. 1900, coll. Schilsky",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus striolatus,Dytiscidae,0,"Reinickendorf, ehem. Hermsdorfer See, 1994, BH",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Dytiscus latissimus,Dytiscidae,0,"Tegel, Tegeler See, 1949, Weinhold leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Dytiscus semisulcatus,Dytiscidae,0,"Pankow, Buch, 1926, Beck leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Graphoderus bilineatus,Dytiscidae,0,"Berlin 10.1.1905, Sammlung Zimmermann (ZSM)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Graphoderus zonatus,Dytiscidae,0,"Zehlendorf, Buschgraben, 2001, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Hydroporus elongatulus,Dytiscidae,0,"Köpenick, Gosener Wiesen, 1996, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Hydroporus glabriusculus,Dytiscidae,0,"Spandau, NSG Großer u. Kleiner Rohrpfuhl, 1993,",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Hydroporus gyllenhalii,Dytiscidae,0,"Spandau, ca. 1920, Schöppa leg. (HORION 1941)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Hydroporus notatus,Dytiscidae,0,"Karlshorst, 1913, Ahlwarth leg. (ZMB)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Hydroporus rufifrons,Dytiscidae,0,"Wannsee, NSG Bäkewiese, 1995, BH leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
