Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Acupalpus maculatus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Agonum gracilipes,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Agonum hypocrita,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Agonum impressum,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Amara famelica,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Anisodactylus nemorivagus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Bembidion humerale,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Bembidion punctulatum,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Bembidion semipunctatum,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Bembidion striatum,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Bembidion velox,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Callisthenes reticulatus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Calosoma sycophanta,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus cancellatus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus clatratus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus glabratus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus intricatus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus nitens,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Carabus problematicus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Chlaenius costulatus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Chlaenius nitidulus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Chlaenius sulcicollis,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Cylindera arenaria,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Dolichus halensis,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Dyschirius chalceus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Dyschirius neresheimeri,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Dyschirius nitidus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Dyschirius obscurus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Elaphropus parvulus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Limodromus longiventris,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Paratachys micros,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Pterostichus ovoideus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Pterostichus taksonyis,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
Sphodrus leucophthalmus,Carabidae,0,,,Rote Liste und Gesamtartenliste der Laufkäfer (Coleoptera: Carabidae) von Berlin
