Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Acalyptus carpini,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Aizobius sedi,Apionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous binodulus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous collignensis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous diglyptus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous elegans,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous frit,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous frivaldszkyi,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous limosus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous lutosus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous lutulosus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous petro,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous robustus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Bagous rotundicollis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Baris chlorizans,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Brachysomus hirtus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceratapion basicorne,Apionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus aeneicollis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus angustus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus coerulescens,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus gallorhenanus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus gerhardti,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus scapularis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus sophiae,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ceutorhynchus sulcicollis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
