Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Anasimyia lunulata,Syrphidae,0,vor 1895,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Baccha obscuripennis,Syrphidae,0,1907,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Chalcosyrphus piger,Syrphidae,0,vor 1943,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Chamaesyrphus lusitanicus,Syrphidae,0,vor 1943,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Chamaesyrphus scaevoides,Syrphidae,0,1850,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Cheilosia barbata,Syrphidae,0,vor 1849,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Cheilosia pascuorum,Syrphidae,0,1907,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Chrysogaster virescens,Syrphidae,0,1908,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Chrysotoxum octomaculatum,Syrphidae,0,,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Eristalis alpina,Syrphidae,0,vor 1943,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Eristalis anthophorina,Syrphidae,0,1917,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Eumerus flavitarsis,Syrphidae,0,1857,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Eumerus sabulonum,Syrphidae,0,1909,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Lejogaster metallina,Syrphidae,0,1900,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Mallota megilliformis,Syrphidae,0,1890,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Megasyrphus erraticus,Syrphidae,0,1956,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Microdon devius,Syrphidae,0,um 1900,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Myolepta obscura,Syrphidae,0,1895,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Myolepta vara,Syrphidae,0,1906,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Neocnemodon brevidens,Syrphidae,0,1917,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Neocnemodon verrucula,Syrphidae,0,1906,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Orthonevra erythrogona,Syrphidae,0,1899,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Orthonevra incisa,Syrphidae,0,1897,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Orthonevra intermedia,Syrphidae,0,1985,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Orthonevra nobilis,Syrphidae,0,vor 1895,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Pelecocera tricincta,Syrphidae,0,1918,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Sphaerophoria interrupta,Syrphidae,0,1899,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Sphaerophoria loewi,Syrphidae,0,1919,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Spilomyia diophthalma,Syrphidae,0,1904,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Trichopsomyia flavitarsis,Syrphidae,0,1897,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
Xylota tarda,Syrphidae,0,vor 1895,,Rote Liste und Gesamtartenliste der Schwebfliegen (Diptera: Syrphidae) von Berlin
