Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Adarrus multinotatus,Cicadellidae,0,vor 1912,Gemeine Zwenkenzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Allygus maculatus,Cicadellidae,0,1902,Fleckenbaumzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Anoscopus albifrons,Cicadellidae,0,vor 1912,Braune Erdzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Arocephalus punctum,Cicadellidae,0,1889,Widderzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Athysanus quadrum,Cicadellidae,0,1919,Sumpfzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Cicadula saturata,Cicadellidae,0,1889,Braunseggenzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Coryphaelus gyllenhalii,Cicadellidae,0,1919,Bunte Simsenzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Cosmotettix panzeri,Cicadellidae,0,1952,Baltische Moorzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Criomorphus borealis,Delphacidae,0,vor 1960,Taigaspornzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Criomorphus moestus,Delphacidae,0,1952,Schwedische Spornzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Delphacinus mesomelas,Delphacidae,0,vor 1912,Elfenbein-Spornzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Delphax crassicornis,Delphacidae,0,vor 1880,Bunte Schilfspornzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Doliotettix lunulatus,Cicadellidae,0,1928,Frühlingsgraszirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Empoasca affinis,Cicadellidae,0,vor 1960,Strauchblattzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Erotettix cyane,Cicadellidae,0,1889,Seerosenzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Eurhadina kirschbaumi,Cicadellidae,0,1889,Traubeneichen-Elfenzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Euscelis venosus,Cicadellidae,0,1889,Eberwurzzirpe,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
Hephathus nanus,Cicadellidae,0,1921,Zwergmaskenzikade,Rote Liste und Gesamtartenliste der Zikaden (Hemiptera: Fulgoromorpha und Cicadomorpha) 
