Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Cryptostemma alienum,Dipsocoridae,0,1853–1860,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Corixa dentipes,Corixidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Cymatia bonsdorffii,Corixidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Cymatia rogenhoferi,Corixidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Micronecta griseola,Micronectidae,0,1959,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Micronecta scholtzi,Micronectidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Sigara fossarum,Corixidae,0,1986,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Sigara limitata,Corixidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Sigara longipalis,Corixidae,0,1981,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Sigara semistriata,Corixidae,0,1986,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Aphelocheirus aestivalis,Aphelocheiridae,0,um 1914,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Notonecta viridis,Notonectidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Gerris gibbifer,Gerridae,0,1981,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Salda littoralis,Saldidae,0,vor 1914,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Saldula c-album,Saldidae,0,1982,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Agramma ruficorne,Tingidae,0,1952,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Agramma tropidopterum,Tingidae,0,1941,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Dictyonota strichnocera,Tingidae,0,1926,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lasiacantha capucina,Tingidae,0,vor 1913,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Tingis maculata,Tingidae,0,vor 1913,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Loricula coleoptrata,Microphysidae,0,1898,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Loricula elegantula,Microphysidae,0,1986,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Amblytylus albidus,Miridae,0,1966,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Amblytylus brevicollis,Miridae,0,vor 1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Apolygus limbatus,Miridae,0,vor 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Apolygus rhamnicola,Miridae,0,1971–1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Apolygus spinolae,Miridae,0,1971–1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Brachyarthrum limitatum,Miridae,0,1987,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Capsus pilifer,Miridae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Deraeocoris scutellaris,Miridae,0,1920,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Hallodapus rufescens,Miridae,0,1926,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Halticus pusillus,Miridae,0,vor 1912,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Hypseloecus visci,Miridae,0,1985,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Isometopus intrusus,Miridae,0,1986,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lygus wagneri,Miridae,0,1935,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Macrotylus solitarius,Miridae,0,1971–1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Notostira erratica,Miridae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Oncotylus viridiflavus,Miridae,0,um 1850,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Orthocephalus vittipennis,Miridae,0,vor 1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Orthotylus ericetorum,Miridae,0,1971–1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Phytocoris hirsutulus,Miridae,0,1982,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Polymerus vulneratus,Miridae,0,1986,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Psallus flavellus,Miridae,0,1890,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Teratocoris antennatus,Miridae,0,1963,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Trigonotylus pulchellus,Miridae,0,vor 1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Trigonotylus ruficornis,Miridae,0,1982,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Tytthus pygmaeus,Miridae,0,1963,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Himacerus boops,Nabidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Anthocoris sarothamni,Anthocoridae,0,1955,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Dysepicritus rufescens,Anthocoridae,0,1853–1860,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lyctocoris campestris,Anthocoridae,0,1971,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Xyloecocoris ovatulus,Anthocoridae,0,1853–1860,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Aradus conspicuus,Aradidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Arocatus roeselii,Lygaeidae,0,um 1850,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lygaeus equestris,Lygaeidae,0,vor 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Cymus aurescens,Cymidae,0,vor 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Heterogaster artemisiae,Heterogastridae,0,vor 1912,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Camptotelus lineolatus,Oxycarenidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Macroplax preyssleri,Oxycarenidae,0,1907,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Emblethis griseus,Rhyparochromidae,0,2000,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Emblethis verbasci,Rhyparochromidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Eremocoris fenestratus,Rhyparochromidae,0,vor 1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Gonianotus marginepunctatus,Rhyparochromidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lasiosomus enervis,Rhyparochromidae,0,vor 1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Ligyrocoris sylvestris,Rhyparochromidae,0,um 1880,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Peritrechus gracilicornis,Rhyparochromidae,0,1993,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Peritrechus lundii,Rhyparochromidae,0,1922,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Pionosomus varius,Rhyparochromidae,0,1937,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Rhyparochromus phoeniceus,Rhyparochromidae,0,1885,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
