Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Pharmacis fusconebulosa,Hepialidae,0,x 1973,Adlerfarn-Wurzelbohrer,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Heterogenea asella,Limacodidae,0,x 1978,Kleiner Schneckenspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Zygaena purpuralis,Zygaenidae,0,x,Thymian-Widderchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Malacosoma castrensis,Lasiocampidae,0,x 1982,Wolfsmilch-Ringelspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eriogaster lanestris,Lasiocampidae,0,x vor 1900,Wollafter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lasiocampa quercus,Lasiocampidae,0,x 1973,Eichenspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Trichiura crataegi,Lasiocampidae,0,x 1975,Weißdornspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Gastropacha populifolia,Lasiocampidae,0,x 1959,Pappelglucke,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Phyllodesma tremulifolia,Lasiocampidae,0,x 1967,Eichenglucke,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Odonestis pruni,Lasiocampidae,0,x 1975,Pflaumenglucke,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lemonia dumi,Brahmaeidae,0,x 1962,Habichtskraut-Wiesenspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Aglia tau,Saturniidae,0,x 1970,Nagelfleck,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Saturnia pavonia,Saturniidae,0,x 1970,Kleines Nachtpfauenauge,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hemaris tityus,Sphingidae,0,x 1940,Skabiosenschwärmer,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
