Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Dysdera erythrina,Dysderidae,0,1985,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Oonops domesticus,Oonopidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Eresus kollari,Eresidae,0,1968,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Dipoena coracina,Theridiidae,0,1971,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Theonoe minutissima,Theridiidae,0,1908,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Agyneta subtilis,Linyphiidae,0,1981,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Centromerus capucinus,Linyphiidae,0,1985,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Centromerus sellarius,Linyphiidae,0,1988,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Dismodicus elevatus,Linyphiidae,0,1904,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Glyphesis cottonae,Linyphiidae,0,1904,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Hylyphantes graminicola,Linyphiidae,0,1981,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Hypselistes jacksoni,Linyphiidae,0,1904,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Incestophantes crucifer,Linyphiidae,0,1974,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Leptothrix hardyi,Linyphiidae,0,1989,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Lessertia dentichelis,Linyphiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Moebelia berolinensis,Linyphiidae,0,1967,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Neriene emphana,Linyphiidae,0,1985,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Parapelecopsis nemoralis,Linyphiidae,0,1967,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Pelecopsis elongata,Linyphiidae,0,1967,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Porrhomma cambridgei,Linyphiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Porrhomma egeria,Linyphiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Porrhomma microps,Linyphiidae,0,1984,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Silometopus incurvatus,Linyphiidae,0,1883,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Thyreosthenius biovatus,Linyphiidae,0,1984,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Tmeticus affinis,Linyphiidae,0,1967,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Trichopternoides thorelli,Linyphiidae,0,1978,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Walckenaeria mitrata,Linyphiidae,0,1982,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Walckenaeria nodosa,Linyphiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Walckenaeria stylifrons,Linyphiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Meta menardi,Tetragnathidae,0,1980,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Araneus angulatus,Araneidae,0,1985,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
