Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Anas clypeata,Anatidae,0,2012,Löffelente ,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Aythya nyroca,Anatidae,0,< 1875,Moorente,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Mergus merganser,Anatidae,0,1945,Gänsesäger,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Perdix perdix,Phasianidae,0,1996,Rebhuhn ,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Tetrao terix,Phasianidae,0,,Birkhuhn,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Ciconia nigra,Ciconiidae,0,1900,Schwarzstorch,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Pandion haliaetus,Pandionidae,0,1875,Fischadler,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Aquila pomarina,Accipitridae,0,1893,Schreiadler,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Circus cyaneus,Accipitridae,0,< 1900,Kornweihe,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Circus pygargus,Accipitridae,0,< 1900,Wiesenweihe,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Otis tarda,Otididae,0,< 1925,Großtrappe,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Porzana porzana,Rallidae,0,2011,Tüpfelralle,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Porzana parva,Rallidae,0,2011,Kleinralle ,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Burhinus oedicnemus,Burhinidae,0,< 1945,Triel,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Numenius arquata,Scolopacidae,0,1878,Großer Brachvogel,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Actitis hypoleucos,Scolopacidae,0,1972,Flussuferläufer,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Tringa totanus,Scolopacidae,0,1878,Rotschenkel,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Tringa ochropus,Scolopacidae,0,1860,Waldwasserläufer,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Philomachus pugnax,Scolopacidae,0,< 1900,Kampfläufer,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Sternula albifrons,Laridae,0,1878,Zwergseeschwalbe,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Sterna hirundo,Laridae,0,1878,Fluss-Seeschwalbe,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Streptopelia turtur,Columbidae,0,< 1945,Turteltaube,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Athene noctua,Strigidae,0,1969,Steinkauz,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Caprimulgus europaeus,Caprimulgidae,0,1926,Ziegenmelker,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Coracias garrulus,Coraciidae,0,1955,Blauracke,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Upupa epops,Upupidae,0,1993,Wiedehopf,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Lanius senator,Laniidae,0,1890,Rotkopfwürger,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Lanius minor,Laniidae,0,1921,Schwarzstirnwürger,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Lanius excubitor,Laniidae,0,1995,Raubwürger ,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Turdus pilaris,Turdidae,0,2009,Wacholderdrossel ,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Luscinia svecica,Muscicapidae,0,1993,Blaukehlchen,Rote Liste und Liste der Brutvögel (Aves) von Berlin
Emberiza hortulana,Emberizidae,0,1967,Ortolan,Rote Liste und Liste der Brutvögel (Aves) von Berlin
