Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Achillea salicifolia ,Asteraceae,0,1999,Weidenblatt-Schafgarbe,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Agrostemma githago ,Caryophyllaceae,0,1989,Korn-Rade,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Alchemilla plicata ,Rosaceae,0,1990,Gefalteter Frauenmantel,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Alchemilla vulgaris s. str.,Rosaceae,0,1969,Spitzlappiger Frauenmantel,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Alisma gramineum,Alismataceae,0,1950,Grasblättriger Froschlöffel,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Allium lusitanicum,Amaryllidaceae,0,1859,Berg-Lauch,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Alopecurus myosuroides ,Poaceae,0,1968,Acker-Fuchsschwanz,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Althaea officinalis ,Malvaceae,0,1859,Echter Eibisch,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Ammophila arenaria ,Poaceae,0,1859,Gemeiner Strandhafer,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Anagallis minima,Primulaceae,0,1985,Acker-Kleinling,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Anemone × lipsiensis (A. nemorosa × ranunculoides),Apiaceae,0,1961,Hybrid-Windröschen,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Angelica palustris,Asteraceae,0,1866,Sumpf-Engelwurz,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Antennaria dioica ,Asteraceae,0,2005,Gemeines Katzenpfötchen,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Anthemis cotula,Rosaceae,0,1991,Stink-Hundskamille,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Aphanes australis,Ericaceae,0,1985,Südlicher  Ackerfrauenmantel,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Arctostaphylos uva-ursi,Rubiaceae,0,1838,Echte Bärentraube,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Asperula cynanchica,Aspleniaceae,0,1971,Hügel-Meier,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Asplenium septentrionale,Alismataceae,0,1851,Nördlicher Streifenfarn,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Baldellia ranunculoides,Blechnaceae,0,1959,Igelschlauch,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Blechnum spicant,Cyperaceae,0,1979,Rippenfarn,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Bolboschoenus maritimus ,Ophioglossaceae,0,1844,Gemeine Strandsimse,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Botrychium multifidum ,Poaceae,0,2005,Vielteiliger Rautenfarn,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Bromus arvensis ,Poaceae,0,1957,Acker-Trespe,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Bromus secalinus,Alismataceae,0,1978,Roggen-Trespe,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Calamagrostis × gracilescens  (C. canescens × stricta),Plantaginaceae,0,1971,Reitgras-Hybride,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Caldesia parnassifolia,Plantaginaceae,0,1864,Herzlöffel,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Callitriche hermaphroditica,Brassicaceae,0,1904,Herbst-Wasserstern,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Callitriche platycarpa,Brassicaceae,0,1989,Flachfrüchtiger Wasserstern,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Camelina alyssum,Campanulaceae,0,1864,Gezähnter Leindotter,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Camelina microcarpa subsp. pilosa ,Campanulaceae,0,1984,Kleinfrüchtiger Leindotter,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Campanula glomerata ,Brassicaceae,0,1971,Knäuel-Glockenblume,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Campanula trachelium ,Cyperaceae,0,1856,Nesselblättrige  Glockenblume,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Cardamine parviflora,Cyperaceae,0,1877,Kleinblütiges Schaumkraut,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex × appeliana (C. hostiana × viridula subsp. viridula),Cyperaceae,0,1908,Appels Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex × biharica  (C. canescens × echinata),Cyperaceae,0,1905,Seggen-Hybride,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex buxbaumii,Cyperaceae,0,1901,Buxbaums Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex chordorrhiza ,Cyperaceae,0,1993,Fadenwurzlige Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex × csomadensis  (C. riparia × echinata),Cyperaceae,0,1854,Seggen-Hybride,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex davalliana,Cyperaceae,0,1820,"Davall-Segge, Torf-Segge",Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex dioica,Cyperaceae,0,1956,Zweihäusige Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex flava s. str.,Cyperaceae,0,1983,Gelb-Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex × fulva  (C. demissa × hostiana),Cyperaceae,0,1907,Braungelbe Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex × gaudiniana  (C. dioica × echinata),Apiaceae,0,1868,Gaudins Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex hostiana,Gentianaceae,0,1976,Saum-Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex montana,Orchidaceae,0,1980,Berg-Segge,Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
Carex pendula ,Caryophyllaceae,0,1856,"Hänge-Segge, Große Segge",Rote Liste und Gesamtartenliste der etablierten Farn- und Blütenpflanzen von Berlin
