Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Amblyodon dealbatus,Meesiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Amblystegium subtile,Amblystegiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Anomodon attenuatus,Thuidiaceae,0,um 1925,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Atrichum angustatum,Polytrichaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Atrichum tenellum,Polytrichaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Barbilophozia kunzeana,Anastrophyllaceae,0,um 1925,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Bartramia ithyphylla,Bartramiaceae,0,1948,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Bazzania trilobata,Lepidoziaceae,0,1965,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Blepharostoma trichophyllum,Blepharostomataceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Brachythecium glareosum,Brachytheciaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Bryum longisetum,Bryaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Bryum neodamense,Bryaceae,0,vor 1934,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Bryum turbinatum,Bryaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Buxbaumia viridis,Buxbaumiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Calliergon giganteum,Amblystegiaceae,0,um 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Calliergon trifarium,Amblystegiaceae,0,um 1897,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Campylium chrysophyllum,Amblystegiaceae,0,1925,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Campylopus flexuosus,Dicranaceae,0,1948,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Cephaloziella elegans,Cephaloziellaceae,0,um 1940,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Cephaloziella hampeana,Cephaloziellaceae,0,vor 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Cephaloziella spinigera,Cephaloziellaceae,0,vor 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Chiloscyphus polyanthos,Lophocoleaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Dicranella rufescens,Dicranaceae,0,vor 1870,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Dicranum bergeri,Dicranaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Didymodon ferrugineus,Pottiaceae,0,1918,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Didymodon sinuosus,Pottiaceae,0,1918,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Diphyscium foliosum,Buxbaumiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Diplophyllum albicans,Scapaniaceae,0,1925,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Diplophyllum obtusifolium,Scapaniaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Ditrichum flexicaule,Ditrichaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Ditrichum heteromallum,Ditrichaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Ditrichum pallidum,Ditrichaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Drepanocladus lycopodioides,Amblystegiaceae,0,1957,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Entosthodon fascicularis,Funariaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Ephemerum serratum,Ephemeraceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Fissidens exilis,Fissidentaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Fissidens osmundoides,Fissidentaceae,0,1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Fossombronia foveolata,Fossombroniaceae,0,1965,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Fossombronia wondraczekii,Fossombroniaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Grimmia crinita,Grimmiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Grimmia hartmanii,Grimmiaceae,0,1952,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Hamatocaulis vernicosus,Amblystegiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Hedwigia stellata,Hedwigiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Helodium blandowii,Thuidiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Isothecium alopecuroides,Brachytheciaceae,0,1948,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
