Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Anaptychia ciliaris,Physciaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Bacidia rosella,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Bactrospora dryina,Roccellaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Baeomyces carneus,Baeomycetaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Bryoria fuscescens,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Caloplaca lobulata,Teloschistaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cetraria ericetorum,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cetraria islandica,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Chaenotheca chlorella,Coniocybaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Chaenotheca furfuracea,Coniocybaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Chrysothrix candelaris,Chrysotrichaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia bellidiflora,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia botrytes,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia caespiticia,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia crispata,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia decorticata,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cladonia parasitica,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Collema cristatum,Collemataceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Collema fuscovirens,Collemataceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Cyphelium notarisii,Caliciaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Dibaeis baeomyces,Icmadophilaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Graphis scripta,Graphidaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Hypocenomyce caradocensis,Umbilicariaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Icmadophila ericetorum,Icmadophilaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Lecanographa amylacea,Lecanographaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Lecanora argentata,Lecanoraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Lecanora symmicta,Lecanoraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Lecanora varia,Lecanoraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Lobaria pulmonaria,Lobariaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Mycobilimbia tetramera,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Opegrapha rufescens,Roccellaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Parmelina quercina,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera horizontalis,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera leucophlebia,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera malacea,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera membranacea,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera polydactylon,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Peltigera praetextata,Peltigeraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Pertusaria flavida,Pertusariaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Pertusaria pertusa,Pertusariaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Physconia distorta,Physciaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Physconia perisidiosa,Physciaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Pleurosticta acetabulum,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Pycnothelia papillaria,Cladoniaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Pyrrhospora quernea,Lecanoraceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Ramalina fastigiata,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Ramalina fraxinea,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Ramalina pollinaria,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Stereocaulon condensatum,Stereocaulaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Stereocaulon incrustatum,Stereocaulaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Stereocaulon PASCHALE,,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Stereocaulon pileatum,Stereocaulaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Stereocaulon tomentosum,Stereocaulaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Tephromela atra,Tephromelataceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Tephromela atra var. torulosa,Tephromelataceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Toninia aromatica,Ramalinaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Usnea florida,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Usnea glabrescens,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
Xanthoparmelia conspersa,Parmeliaceae,0,,,Rote Liste und Gesamtartenliste der Flechten (Lichenes) von Berlin
