Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Anthracoidea angulata,Anthracoideaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Anthracoidea caricis,Anthracoideaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Anthracoidea caryophylleae,Anthracoideaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Anthracoidea limosa,Anthracoideaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Doassansia alismatis,Doassansiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Doassansia niesslii,Doassansiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Doassansia sagittariae,Doassansiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Doassansiopsis hydrophila,Doassansiopsidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entorrhiza aschersoniana,Entorrhizaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entorrhiza cypericola,Entorrhizaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma achilleae,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma dahliae,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma fergussonii,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma ficariae,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma fuscum,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma hieracii,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma linariae,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma magnusii,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma matricariae,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Entyloma ranunculi-repentis,Entylomataceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Heterodoassansia hottoniae,Doassansiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum cardui,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum duriaeanum,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum holostei,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum scorzonera,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum silenes-inflatae,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum stellariae,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Microbotryum succisae,Microbotryaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Sporisorium cruentum,Ustilaginaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Sporisorium destruens,Ustilaginaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Sporisorium sorghi,Ustilaginaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Tilletia caries,Tilletiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Tilletia separata,Tilletiaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Tolyposporium junci,Anthracoideaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis colchici,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis galanthi,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis luzulae,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis magica,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis primulae,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis trollii,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Urocystis violae,Urocystidaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Ustilago hordei,Ustilaginaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Ustilago scrobiculata,Ustilaginaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
Vankya vaillantii,Floromycetaceae,0,,,Rote Liste und Gesamtartenliste der Brandpilze (Ustilaginales) von Berlin
