Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Chara aspera,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Chara baueri,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Chara papillosa,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Chara tenuispina,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Lychnothamnus barbatus,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Nitella capillaris,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Nitella confervacea,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Nitella gracilis,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Nitella opaca,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Nitella tenuissima,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
Tolypella intricata,Characeae,0,,,Rote Liste und Gesamtartenliste der Armleuchteralgen (Characeae) von Berlin
