Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GfU
Chara aspera WILLDENOW,0,ex,,,,2,3,
Chara baueri A BRAUN,0,ex,,,,1,2,
Chara papillosa KÜTZING,0,ex,,,,3,3,
Chara tenuispina A BRAUN,0,ex,,,,1,1,
Lychnothamnus barbatus (MEYEN) LEONHARDI,0,ex,,,,0,2,
Nitella capillaris (KROCKER) J GROVES &  BULLOCK-WEBSTER,0,ex,,,,G,2,
Nitella confervacea (BRÉBISSON) A BRAUN,0,ex,,,,1,3,
Nitella gracilis (JE SMITH) C AGARDH,0,ex,,,,1,2,
Nitella opaca (C AGARDH ex BRUZELIUS) C AGARDH,0,ex,,,,G,3,
Nitella tenuissima (DESVAUX) KÜTZING,0,ex,,,,0,3,
Tolypella intricata (TRENTEPOHL ex ROTH) LEONHARDI,0,ex,,,,1,2,
