Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GfU,Vorzugs_habitat,Ökolog_Typ,Letzter_Nachweis
Dysdera erythrina,0,ex,,,,*,*,"7, 8, 12",7,(h)w,1985
Oonops domesticus,0,ex,,,,*,D,"1a, 2a",16,"syn, trog",1983
Eresus kollari,0,ex,,,,2,2,"3, 7a, 12a",11,"x, th",1968
Dipoena coracina,0,ex,,,,*,G,"7a, 11b",12,"x, th",1971
Theonoe minutissima,0,ex,,,,2,3,"2d, 3, 11c",2,h,1908
Agyneta subtilis,0,ex,,,,*,V,"2d, 11c",2,h(w),1981
Centromerus capucinus,0,ex,,,,0,G,"2d, 11c",2,h,1985
Centromerus sellarius,0,ex,,,,G,*,"3, 8",8,"(x)w, trog",1988
Dismodicus elevatus,0,ex,,,,*,*,"3, 8",8,arb,1904
Glyphesis cottonae,0,ex,,,,1,2,"2d, 11c",2,h,1904
Hylyphantes graminicola,0,ex,,,,G,V,2d,6,"h(w), arb",1981
Hypselistes jacksoni,0,ex,,,,1,2,"2d, 11c",2,h,1904
Incestophantes crucifer,0,ex,,,,G,D,"2d, 8",8,(x)w,1974
Leptothrix hardyi,0,ex,,,,3,3,"7d, 8",10,x,1989
Lessertia dentichelis,0,ex,,,,*,D,"1a, 2a",16,"syn, trog",1983
Moebelia berolinensis,0,ex,,,,G,R,"2d, 8",6,"arb, R",1967
Neriene emphana,0,ex,,,,*,*,2d,7,(h)w,1985
Parapelecopsis nemoralis,0,ex,,,,*,G,"2d, 5",8,"(x)w, arb",1967
Pelecopsis elongata,0,ex,,,,2,*,?,7,(h)w,1967
Porrhomma cambridgei,0,ex,,,,kN,D,?,7,(h)w,1983
Porrhomma egeria,0,ex,,,,*,*,?,7,"(h)w, trog",1983
Porrhomma microps,0,ex,,,,kN,*,"1a, 2a",14,(x),1984
Silometopus incurvatus,0,ex,,,,G,3,"1a, 11b",12,x,1883
Thyreosthenius biovatus,0,ex,,,,*,G,14,14,myrm,1984
Tmeticus affinis,0,ex,,,,3,2,"2d, 7",5,h,1967
Trichopternoides thorelli,0,ex,,,,2,2,"2d, 11c",4,h,1978
Walckenaeria mitrata,0,ex,,,,R,*,"5, 11",7,(h)w,1982
Walckenaeria nodosa,0,ex,,,,1,2,"2d, 11c",2,h,1983
Walckenaeria stylifrons,0,ex,,,,3,3,"1a, 2a",14,x,1983
Meta menardi,0,ex,,,,*,*,"2a, 2c",16,"trog, syn",1980
Araneus angulatus,0,ex,,,,3,G,"2d, 8",7,(h)w,1985
Araniella proxima,0,ex,,,,G,2,"2d, 11c",2,h,1975
Alopecosa fabrilis,0,ex,,,,2,3,"1a, 3a, 7a",10,x,um 1900
Arctosa cinerea,0,ex,,,,2,2,"2a, 3a",14,x,1981
Piratula insularis,0,ex,,,,1,1,"2d, 11c",2,h,1908
Piratula uliginosa,0,ex,,,,3,*,"2d, 11c",2,h,1901
Oxyopes ramosus,0,ex,,,,2,V,"2a, 3, 7a",10,x,1901
Brigittea latens,0,ex,,,,3,G,"1a, 2a",14,x,1983
Emblyna brevidens,0,ex,,,,*,2,"2d, 11c",2,h,1973
Amaurobius similis,0,ex,,,,*,*,"2a, 2c",16,"syn, th",1983
Agroeca dentigera,0,ex,,,,1,2,"2d, 11c",2,h,1973
Scotina palliardii,0,ex,,,,2,V,"7, 8",12,x,1967
Clubiona caerulescens,0,ex,,,,*,*,?,7,"(h)w, arb",1984
Clubiona frisia,0,ex,,,,3,*,"1a, 1c, 2a",12,x,1983
Clubiona germanica,0,ex,,,,*,3,"1a, 2a",14,x,1983
Berlandina cinerea,0,ex,,,,2,2,"1a, 1c, 2a",12,x,1913
Micaria dives,0,ex,,,,1,2,"1a, 2a, 7a",12,x,1934
Scotophaeus quadripunctatus,0,ex,,,,*,*,"2a, 11b",12,x,1989
Micrommata virescens,0,ex,,,,R,*,"6, 7",5,(h),1916
Synema globosum,0,ex,,,,R,*,"1a, 2d",4,"Blüt, th",um 1900
Xysticus luctuosus,0,ex,,,,2,V,?,8,"(x)w, arb",1983
Xysticus robustus,0,ex,,,,2,V,"1a, 2a, 7a",10,x,1981
Dendryphantes hastatus,0,ex,,,,*,G,?,8,arb,1903
Leptorchestes berolinensis,0,ex,,,,*,2,"2a, 2c",16,syn,vor 1846
Marpissa pomatia,0,ex,,,,R,2,"2d, 3",3,h,1983
Pseudicius encarpatus,0,ex,,,,*,*,?,8,"arb, R",um 1900
Synageles hilarulus,0,ex,,,,2,3,"1a, 2a",14,x,1983
