Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,GfU,Neobiota,Letzter_Nachweis
"Chetabraeus globulus (CREUTZER, 1799)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1839
"Hypocacculus rufipes (KUGELANN, 1792)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1860
"Platysoma angustum (HOFFMANN, 1803)",0,ex,,,,kN,"2a, 14a",,vor 1950
"Platysoma deplanatum (GYLLENHAL, 1808)",0,ex,,,,kN,"2a, 14a",,1914
"Plegaderus discisus ERICHSON, 1839",0,ex,,,,kN,"2a, 14a",,vor 1839
"Saprinus politus (BRAHM, 1790)",0,ex,,,,kN,6,,vor 1851
"Anemadus strigosus (KRAATZ, 1852)",0,ex,,,,kN,"2a, 14a",,vor 1946
"Nargus anisotomoides (SPENCE, 1815)",0,ex,,,,kN,,,vor 1950
"Colon affine STURM, 1839",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1909
"Colon armipes KRAATZ, 1854",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1854
"Colon calcaratum ERICHSON, 1837",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1837
"Colon clavigerum HERBST, 1797",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1884
"Colon puncticolle KRAATZ, 1850",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1850
"Colon rufescens KRAATZ, 1850",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1850
"Agyrtes castaneus (FABRICIUS, 1792)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1856
"Agathidium nigrinum STURM, 1807",0,ex,,,,kN,,,vor 1866
"Leiodes brunnea (STURM, 1807)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1909
"Leiodes flavescens (SCHMIDT, 1841)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1845
