Species,BE,BB,DE,Vorzugs_habitate,Gefährdungsursachen
Acalyptus carpini (FABRICIUS)*,0,3,-,"WM, WW","2d, 7b, 8b"
Aizobius sedi (GERMAR)*,0,3,-,"RSA, GT","1a, 7a, 8a, 13a"
Bagous binodulus (HERBST)*,0,1,3,"SFA, M, GF","2d, 5, 6a, 12c"
Bagous collignensis (HERBST)*,0,2,2,"S, M, GF","2d, 5, 6a, 12c"
Bagous diglyptus BOHEMAN*,0,1,2,"GT, RSA","1a, 7a, 8a, 11a"
Bagous elegans (FABRICIUS)*,0,1,2,"FRG, S","2d, 5, 11c, 12c"
Bagous frit (HERBST)*,0,1,2,"S, M, GF","2d, 5, 6a, 12c"
Bagous frivaldszkyi TOURNIER*,0,0,2,"FFR, S, GF","2d, 5, 6a, 11a"
Bagous limosus (GYLLENHAL)*,0,0,3,"S, M, GF","2d, 5, 6a, 12c"
Bagous lutosus (GYLLENHAL)*,0,1,3,"S, M, GF","2d, 5, 6a, 12c"
Bagous lutulosus (GYLLENHAL)*,0,1,3,"S, M, GF","2d, 5, 6a, 12c"
Bagous petro (HERBST)*,0,0,0,"S, M, GF","2d, 5, 6a, 12c"
Bagous robustus H. BRISOUT*,0,1,3,"S, M, GF","2d, 5, 6a, 12c"
Bagous rotundicollis BOHEMAN*,0,1,0,"S, M, FFR","2d, 5, 11c, 12c"
Baris chlorizans GERMAR*,0,2,-,"PG, LA, RSB","4b, 6e"
Brachysomus hirtus (BOHEMAN)*,0,0,3,"W, B, H, GT",?
Ceratapion basicorne (ILLIGER)*,0,-,2,"LA, LB","1a, 6e, 7c, 8e"
Ceutorhynchus aeneicollis GERMAR*,0,3,3,"RSS, RR, OV","1a, 7c, 12a"
"Ceutorhynchus angustus DIECKMANN & 
SMRECZYNSKI*",0,3,3,"RRS, GT, RSS","1a, 7a, 11, 12a"
Ceutorhynchus coerulescens GYLLENHAL*,0,0,3,"RR, RSA, GTS","1a, 7, 11a, 12a"
Ceutorhynchus gallorhenanus SOLARI*,0,0,-,"G, B, W, L, P",?
Ceutorhynchus gerhardti SCHULTZE*,0,0,3,"LA, LB","1a, 6e, 7c"
Ceutorhynchus scapularis GYLLENHAL*,0,4,-,"FFR, S, ME","2d, 5a, 12c"
Ceutorhynchus sophiae (STEVEN)*,0,-,2,"RR, L, LB, RSS","1a, 7c, 8e, 12a"
Ceutorhynchus sulcicollis (PAYKULL)*,0,-,-,"L, RR, RS, PG","1a, 7c, 8e"
Ceutorhynchus syrites GERMAR*,0,4,3,"LA, LB, RR, RS","1a, 7c, 8e, 12a"
Ceutorhynchus unguicularis THOMSON*,0,4,3,"RSA, RSB, RR","1a, 7, 8, 11a"
Cionus clairvillei BOHEMAN*,0,3,2,"GT, RSA, RSB","1a, 7a, 8a, 11a"
Cionus scrophulariae (LINNAEUS)*,0,-,-,"GF, GS, WGV","1a, 2a, 6, 9"
Coeliodes trifasciatus BACH*,0,0,-,"WT, WQ, WC","7a, 8, 13a"
Deporaus mannerheimii (HUMMEL)*,0,1,-,"WMW, WGF","9?, 12b?"
Diplapion detritum (MULSANT & REY)*,0,1,2,"GT, RSS, RSA","1a, 7, 8, 11a"
Dorytomus nordenskioldi FAUST*,0,3,2,"BF, WVT","1a, 7, 8, 13a"
Dorytomus salicis WALTON*,0,1,-,"BF, WV, WM",?
