Species,BE,Bestand,Trend_lang,Trend_kurz,RF,D,GfU,Vorzugshabitat,Ernährungs_typLarve,Letzter_Nachweis,Location
Anasimyia lunulata,0,ex,,,,1,"2d, 6a, 8b, 11c",M,asp,vor 1895,„Berlin“; MfN
Baccha obscuripennis,0,ex,,,,*,"2a, 12b","W1, W2, PF, PK",zoo,1907,Pichelsberg; SDEI
Chalcosyrphus piger,0,ex,,,,2,"2a, 9, 12b",W2,tsp,vor 1943,„Berlin“; MfN
Chamaesyrphus lusitanicus,0,ex,,,,1,"1a, 2a, 6d, 7d, 8, 14a","H, W2, AD",phy?,vor 1943,"Grunewald; SDEI  
[aktueller Fund am nördlichen Berliner Stadtrand bei"
Chamaesyrphus scaevoides,0,ex,,,,2,"1a, 2a, 6d, 7d, 8, 14a","H, W2",phy?,1850,Charlottenburg; MfN
Cheilosia barbata,0,ex,,,,*,"1a, 2a, 6d, 7a, 8, 12b","GT, W1",phy,vor 1849,„Berlin“; MfN
Cheilosia pascuorum,0,ex,,,,*,"2a, 9, 12b",W1,phy,1907,Pichelsberg; SDEI
Chrysogaster virescens,0,ex,,,,G,"2d, 9, 11c, 12b, 12c","M, W1",asp,1908,„Berlin“; SDEI
Chrysotoxum octomaculatum,0,ex,,,,1,"1a, 2a, 6d, 7d, 8, 12b,","H, W1",zoo,,
Eristalis alpina,0,ex,,,,3,"2d, 5b, 8b, 9, 12b, 12c",W1,asp,vor 1943,Jungfernheide; SDEI
Eristalis anthophorina,0,ex,,,,1,"2d, 5b, 6a, 8b, 11c, 12c","M, GF",asp,1917,"Schmöckwitz; ehem. coll. Institut für Biologie der TU 
Berlin"
Eumerus flavitarsis,0,ex,,,,*,"2a, 9, 12b",W1,phy,1857,Charlottenburg; MfN
Eumerus sabulonum,0,ex,,,,2,"1a, 2a, 6d, 7a, 8, 14a","GT, AD",phy,1909,„Berlin W.“; SDEI
Lejogaster metallina,0,ex,,,,V,"2d, 5b, 6a, 8b, 11c, 12c","M, GF",asp,1900,Grunewald; SDEI
Mallota megilliformis,0,ex,,,,0,"2a, 9, 12b, 14a",W1,tsp,1890,„Berlin“; SDEI
Megasyrphus erraticus,0,ex,,,,*,"2a, 9, 12b",W2,zoo,1956,„Berlin“; ehem. coll. Zool. Institut der FU Berlin
Microdon devius,0,ex,,,,V,"1a, 2a, 6d, 7a, 8",GT,zoo,um 1900,"„Berlin“, ohne Datum; MfN"
Myolepta obscura,0,ex,,,,1,"2a, 9, 12b, 14a",W1,tsp,1895,Grunewald; SDEI
Myolepta vara,0,ex,,,,3,"2a, 9, 12b, 14a",W1,tsp,1906,Pichelsberg; SDEI
Neocnemodon brevidens,0,ex,,,,*,"2a, 9, 12b",W1,zoo,1917,Pichelsberg; SDEI
Neocnemodon verrucula,0,ex,,,,R,"2a, 9, 12b",W1,zoo,1906,Spandau; SDEI
Orthonevra erythrogona,0,ex,,,,1,"2d, 5b, 6a, 8b, 11c, 12c","M, GF",asp,1899,Schildhorn; SDEI
Orthonevra incisa,0,ex,,,,*,"2d, 5b, 12c",ME?,asp,1897,"Jungfernheide; SDEI [als O. cf. plumbago (LOEW, 1840)]"
Orthonevra intermedia,0,ex,,,,3,"2d, 5b, 7, 8, 12c, 14a","M, GF",asp,1985,"Ökowerk am Teufelssee; ehem. coll. M. Ristow  
[aktueller Fund am südöstlichen Berliner Stadtrand bei"
Orthonevra nobilis,0,ex,,,,*,"1a, 2a, 6d, 7a, 8","RS, GT",asp,vor 1895,„Berlin“; MfN
Pelecocera tricincta,0,ex,,,,3,"1a, 2a, 6d, 7, 8, 12b","GT, H, W2",phy?,1918,Pichelsberg; SDEI
Sphaerophoria interrupta,0,ex,,,,*,"2d, 5b, 6a, 8b, 11c, 12c","M, GF, H",zoo,1899,"Jungfernheide; SDEI [als S. menthastri (LINNAEUS, 1758)]"
Sphaerophoria loewi,0,ex,,,,1,"2d, 5b, 12c, 14a",ME,zoo,1919,Tegel; MfN
Spilomyia diophthalma,0,ex,,,,1,"2a, 9, 12b, 14a","W1, W2",tsp,1904,Berlin-Buckow; SDEI
Trichopsomyia flavitarsis,0,ex,,,,*,"2d, 5b, 6a, 8b, 11c, 12c","M, GF",zoo,1897,Grunewald; SDEI
Xylota tarda,0,ex,,,,*,"2a, 9, 12b",W1,tsp,vor 1895,„Berlin“; MfN
