Species,BE,Wirtsart,Anzahl_Fundorte_vor1945,Anzahl_Fundorte_1945_1990,Anzahl_Fundorte_1991_2001
"Anthracoidea angulata (H. SYDOW) 
BOIDOL & POELT",0,Carex hirta,3,-,-
"Anthracoidea caricis (PERSOON) 
BREFELD",0,Carex pilulifera,2,-,-
"Anthracoidea caryophylleae KUKKO-
NEN",0,Carex supina,5,-,-
"Anthracoidea limosa (H. SYDOW) 
KUKKONEN",0,Carex limosa,1,-,-
Doassansia alismatis (NEES) CORNU,0,Alisma plantago-aquatica,4,-,-
Doassansia niesslii DE TONI,0,Butomus umbellatus (cult.),1,-,-
"Doassansia sagittariae (FUCKEL) C. 
FISCH",0,Sagittaraia sagittifolia,5,-,-
"Doassansiopsis hydrophila (A. DIET-
RICH) LAVROV",0,Potamogeton natans,1,-,-
"Entorrhiza aschersoniana (MAGNUS) 
LAGERHEIM",0,Juncus bufonius,3,-,-
"Entorrhiza cypericola (MAGNUS) C. 
WEBER",0,Cyperus flavescens,3,-,-
Entyloma achilleae MAGNUS,0,Achillea millefolium,1,-,-
Entyloma dahliae H. & P. SYDOW,0,Dahlia pinnata (cult.),2,-,-
"Entyloma fergussonii (BERKELEY & 
BROOME) PLOWRIGHT",0,"Myosotis arvensis 
Myosotis palustris","1 
2","- 
-","- 
-"
Entyloma ficariae V. THUEMEN,0,Ranunculus ficaria,3,-,-
Entyloma fuscum SCHRÖTER,0,"Papaver dubium (A) 
Papaver rhoeas (A)","3 
3","- 
-","- 
-"
Entyloma hieracii CIFERRI,0,"Hieracium murorum 
Hieracium pilosella","2 
1","- 
-","- 
-"
Entyloma linariae SCHRÖTER,0,Linaria vulgaris,1,-,-
Entyloma magnusii (ULE) WORONIN,0,"Helichrysum arenarium 
Gnaphalium luteoalbum","5 
2","- 
-","- 
-"
Entyloma matricariae ROSTRUP,0,"Tripleuospermum maritimum 
(A)",1,-,-
Entyloma ranunculi-repentis STERNON,0,"Ranunculus bulbosus 
Ranunculus repens 
Ranunculus sceleratus","1 
2 
8","- 
- 
-","- 
- 
-"
"Heterodoassansia hottoniae 
(ROSTRUP) VÁNKY",0,Hottonia palustris,1,-,-
"Microbotryum cardui (FISCHER V. 
WALDHEIM) VÁNKY",0,Carduus kerneri (cult.),1,-,-
"Microbotryum duriaeanum (L. R. & C. 
TULASNE) VÁNKY",0,Cerastium semidecandrum,3,-,-
"Microbotryum holostei (DE BARY) 
VÁNKY",0,Holosteum umbellatum,3,-,-
"Microbotryum scorzonera (ALBERTINI 
& SCHWEINITZ) DEML & PRILLINGER",0,Scorzonera humilis (cult.),2,-,-
"Microbotryum silenes-inflatae (LIRO) 
DEML & OBERWINKLER",0,Silene vulgaris,2,-,-
"Microbotryum stellariae (SOWERBY) 
DEML & OBERWINKLER",0,Myosoton aquaticum,1,-,-
"Microbotryum succisae (MAGNUS) 
BAUER & OBERWINKLER",0,Succisa pratensis (cult.),1,-,-
Sporisorium cruentum (KÜHN) VÁNKY,0,Sorghum bicolor (cult.),1,-,-
"Sporisorium destruens (SCHLECHTEN-
DAL) VÁNKY",0,Panicum miliaceum (cult.),3,-,-
Sporisorium sorghi LINK,0,Sorghum bicolor (cult.),1,-,-
"Tilletia caries (DE CANDOLLE) L. R. & 
C. TULASNE",0,"Triticum aestivum (cult.) 
Triticum spelta (cult.)","4 
1","- 
-","- 
-"
Tilletia separata WINTER,0,Apera spica-venti,1,-,-
"Tolyposporium junci (SCHRÖTER) 
WORONIN",0,Juncus bufonius,8,-,-
"Urocystis colchici (SCHLECHTENDAL) 
RABENHORST",0,Colchicum autumnale (cult.),1,-,-
Urocystis galanthi PAPE,0,Galanthus nivalis (cult.),1,-,-
Urocystis luzulae (SCHRÖTER) WINTER,0,Luzula pilosa,1,-,-
Urocystis magica PASSERINI,0,Allium cepa (cult.),1,-,-
Urocystis primulae (ROSTRUP) VÁNKY,0,Primula veris (cult.),1,-,-
Urocystis trollii NANNFELDT,0,Trollius spec. (cult.),-,1,-
"Urocystis violae (SOWERBY) FISCHER 
V. WALDHEIM",0,"Viola odorata (A) 
Viola suavis (N)","7 
1","- 
-","- 
-"
Ustilago hordei (PERSOON) LAGERHEIM,0,"Avena nuda (cult.) 
Avena sativa (cult.) 
Hordeum distichon (cult.) 
Hordeum vulgare (cult.)","1 
5 
3 
2","- 
- 
- 
-","- 
- 
- 
-"
Ustilago scrobiculata LIRO,0,Calamagrostis epigeios,1,-,-
"Vankya vaillantii (L. R. & C. TULASNE) 
ERSHAD 
(= Ustilago vaillantii L. R. & C. TUL.)",0,"Chinodoxa spec. (cult.) 
Muscari comosum (cult.) 
Muscari schliemanni (cult.)","1 
1 
1","- 
- 
-","- 
- 
-"
