Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GfU,Letzter_Nachweis,Neozoon
"Cryptostemma alienum HERRICH-SCHAEFFER, 1835",0,ex,,,,0,nb,"5a, 5b",1853–1860,
"Corixa dentipes THOMSON, 1869",0,ex,,,,,,11c,1989,
"Cymatia bonsdorffii (C. R. Sahlberg, 1819)",0,ex,,,,2,3,11c,1989,
"Cymatia rogenhoferi (FIEBER, 1864)",0,ex,,,,0,D,14a,1989,
"Micronecta griseola HORVÁTH, 1899",0,ex,,,,2,nb,11c,1959,
"Micronecta scholtzi (FIEBER, 1860)",0,ex,,,,,,11c,1990,
"Sigara fossarum (LEACH, 1817)",0,ex,,,,,,11c,1986,
"Sigara limitata (FIEBER, 1848)",0,ex,,,,3,,"11c, 14c",1989,
"Sigara longipalis (J. SAHLBERG, 1878)",0,ex,,,,1,3,,1981,
"Sigara semistriata (FIEBER, 1848)",0,ex,,,,,3,,1986,
"Aphelocheirus aestivalis (FABRICIUS, 1794)",0,ex,,,,1,V,11c,um 1914,
"Notonecta viridis DELCOURT, 1909",0,ex,,,,2,,11c,1989,
"Gerris gibbifer SCHUMMEL, 1832",0,ex,,,,2,,11c,1981,
"Salda littoralis (LINNAEUS, 1758)",0,ex,,,,1,,"3a, 5a, 12c",vor 1914,
"Saldula c-album (FIEBER, 1859)",0,ex,,,,2,,"5, 12c",1982,
"Agramma ruficorne (GERMAR, 1835)",0,ex,,,,1,,6a,1952,
"Agramma tropidopterum FLOR, 1860",0,ex,,,,1,1,6a,1941,
"Dictyonota strichnocera FIEBER, 1844",0,ex,,,,,,7d,1926,
"Lasiacantha capucina (GERMAR, 1837)",0,ex,,,,0,,"1a, 1c, 7a",vor 1913,
"Tingis maculata (HERRICH-SCHAEFFER, 1838)",0,ex,,,,0,3,"1, 7",vor 1913,
"Loricula coleoptrata (FALLÉN, 1807)",0,ex,,,,0,,,1898,
"Loricula elegantula (BAERENSPRUNG, 1858)",0,ex,,,,1,1,,1986,
"Amblytylus albidus (HAHN, 1834)",0,ex,,,,,,,1966,
"Amblytylus brevicollis FIEBER, 1858",0,ex,,,,1,1,2a,vor 1991,
"Apolygus limbatus (FALLÉN, 1807)",0,ex,,,,0,,,vor 1900,
"Apolygus rhamnicola (REUTER, 1885)",0,ex,,,,0,,,1971–1991,
