Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GS,GfU,Vorzugs_habitat,Ökologischer_Typ
Anaptychia ciliaris (L.) KÖRB.,0,ex,,,,1,2,,11d,,epi
Bacidia rosella (PERS.) DE NOT.,0,ex,,,,1,1,,11d,,"epi, neu"
Bactrospora dryina (ACH.) A. MASSAL.,0,ex,,,,0,2,,"9, 11d",W,epi
Baeomyces carneus FLÖRKE,0,ex,,,,kN,0,,,,ter
Bryoria fuscescens (GYELN.) BRODO & D. HAWKSW.,0,ex,,,,*,3,,"2a, 11d",W,"lig, epi, aci, anit"
Caloplaca lobulata (FLÖRKE) HELLB.,0,ex,,,,0,1,,11d,,"epi, bas"
Cetraria ericetorum OPIZ,0,ex,,,,1,1,,"7d, 11e","WKL, HZ",ter
Cetraria islandica (L.) ACH.,0,ex,,,,3,2,,"7d, 11e","WKL, HZ",ter
Chaenotheca chlorella (ACH.) MÜLL. ARG.,0,ex,,,,2,2,,,,epi
Chaenotheca furfuracea (L.) TIBELL,0,ex,,,,3,V,,"9, 11d",W,"epi, aci"
Chrysothrix candelaris (L.) J. R. LAUNDON,0,ex,,,,2,V,,,,epi
Cladonia bellidiflora (ACH.) SCHAER.,0,ex,,,,0,*,,Arealgrenze,,sax
Cladonia botrytes (K. G. HAGEN) WILLD.,0,ex,,,,1,1,,Arealgrenze,W,"lig, nit"
Cladonia caespiticia (PERS.) FLÖRKE,0,ex,,,,3,*,,11,W,ter
Cladonia crispata (ACH.) FLOT.,0,ex,,,,0,1,,"7d, 7f, 8e, 11",GTS,ter
Cladonia decorticata (FLÖRKE) SPRENG.,0,ex,,,,0,1,,,,ter
Cladonia parasitica (HOFFM.) HOFFM.,0,ex,,,,2,2,,,,epi
Collema cristatum (L.) F. H. WIGG.,0,ex,,,,0,V,,14a,,"sax, bas"
Collema fuscovirens (WITH.) J. R. LAUNDON,0,ex,,,,0,*,,14a,,"sax, bas"
Cyphelium notarisii (TUL.) BLOMB. & FORSSELL,0,ex,,,,0,1,,14a,,lig
Dibaeis baeomyces (L. F.) RAMBOLD & HERTEL,0,ex,,,,2,2,,"7d, 7f, 8e, 11","RR, HZ",ter
Graphis scripta (L.) ACH.,0,ex,,,,3,V,,"2d, 11d",W,"epi, hyg"
Hypocenomyce caradocensis (LEIGHT. ex NYL.) P. JAMES,0,ex,,,,D,*,,,W,epi
Icmadophila ericetorum (L.) ZAHLBR.,0,ex,,,,0,1,,"2d, 11","W, MA","lig, ter, anit"
Lecanographa amylacea (EHRH. ex PERS.) EGEA &,0,ex,,,,kN,2,,,,epi
