Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,EU,GS,V,Zielart_2008,Zielart_2017,V,Letzter Nachweis,Common_name
Achillea salicifolia *,0,ex,,,,G,,,,,,!!,,1999,Weidenblatt-Schafgarbe
Agrostemma githago *,0,ex,,,,1,1,,,,,,,1989,Korn-Rade
Alchemilla plicata *,0,ex,,,,1,2,,,,,!!,,1990,Gefalteter Frauenmantel
Alchemilla vulgaris s. str.,0,ex,,,,1,,,,,,,,1969,Spitzlappiger Frauenmantel
Alisma gramineum,0,ex,,,,2,,3,,,,,,1950,Grasblättriger Froschlöffel
Allium lusitanicum,0,ex,,,,1,,,§,,,,,1859,Berg-Lauch
Alopecurus myosuroides *,0,ex,,,,,,,,,,,,1968,Acker-Fuchsschwanz
Althaea officinalis *,0,ex,,,,1,3,,§,,,,N,1859,Echter Eibisch
Ammophila arenaria *,0,ex,,,,,,,,,,,N,1859,Gemeiner Strandhafer
Anagallis minima,0,ex,,,,,3,,,,,,,1985,Acker-Kleinling
"Anemone × lipsiensis 
(A. nemorosa × ranunculoides)",0,ex,,,,,,,,,,,,1961,Hybrid-Windröschen
Angelica palustris,0,ex,,,,1,2,1,"§§, 
II, IV",,,,,1866,Sumpf-Engelwurz
Antennaria dioica *,0,ex,,,,1,3,,§,,,!!,,2005,Gemeines Katzenpfötchen
Anthemis cotula,0,ex,,,,2,,,,,,,,1991,Stink-Hundskamille
Aphanes australis,0,ex,,,,3,,,,,,,,1985,"Südlicher 
Ackerfrauenmantel"
Arctostaphylos uva-ursi,0,ex,,,,1,2,,§,,,,,1838,Echte Bärentraube
Asperula cynanchica,0,ex,,,,2,,,,,,,,1971,Hügel-Meier
Asplenium septentrionale,0,ex,,,,0,,,,,,,,1851,Nördlicher Streifenfarn
Baldellia ranunculoides,0,ex,,,,1,2,,,,,,,1959,Igelschlauch
Blechnum spicant,0,ex,,,,2,,,,,,,,1979,Rippenfarn
Bolboschoenus maritimus *,0,ex,,,,,,,,,,,,1844,Gemeine Strandsimse
Botrychium multifidum *,0,ex,,,,1,1,2,§§,,,!!,,2005,Vielteiliger Rautenfarn
Bromus arvensis *,0,ex,,,,1,3,,,,,,,1957,Acker-Trespe
Bromus secalinus,0,ex,,,,1,,,,,,,,1978,Roggen-Trespe
"Calamagrostis × gracilescens  
(C. canescens × stricta)",0,ex,,,,,,,,,,,,1971,Reitgras-Hybride
Caldesia parnassifolia,0,ex,,,,0,1,1,"§§, 
II, IV",!,,,,1864,Herzlöffel
Callitriche hermaphroditica,0,ex,,,,0,G,,,,,,,1904,Herbst-Wasserstern
Callitriche platycarpa,0,ex,,,,G,,,,,,,,1989,Flachfrüchtiger Wasserstern
Camelina alyssum,0,ex,,,,0,0,1,,,,,,1864,Gezähnter Leindotter
"Camelina microcarpa subsp. 
pilosa *",0,ex,,,,3,,,,,,,,1984,Kleinfrüchtiger Leindotter
Campanula glomerata *,0,ex,,,,2,,,,,,,,1971,Knäuel-Glockenblume
Campanula trachelium *,0,ex,,,,V,,,,,,,,1856,"Nesselblättrige 
Glockenblume"
Cardamine parviflora,0,ex,,,,2,,R,,,,,,1877,Kleinblütiges Schaumkraut
"Carex × appeliana (C. hostiana × 
viridula subsp. viridula)",0,ex,,,,,,,,,,,,1908,Appels Segge
"Carex × biharica  
(C. canescens × echinata)",0,ex,,,,,,,,,,,,1905,Seggen-Hybride
Carex buxbaumii,0,ex,,,,0,2,3,,,,,,1901,Buxbaums Segge
Carex chordorrhiza *,0,ex,,,,1,2,,,,,!!,,1993,Fadenwurzlige Segge
"Carex × csomadensis  
(C. riparia × echinata)",0,ex,,,,,,,,,,,,1854,Seggen-Hybride
Carex davalliana,0,ex,,,,0,3,3,,,,,,1820,"Davall-Segge, Torf-Segge"
Carex dioica,0,ex,,,,1,2,3,,,,,,1956,Zweihäusige Segge
Carex flava s. str.,0,ex,,,,1,,,,,,,,1983,Gelb-Segge
"Carex × fulva  
(C. demissa × hostiana)",0,ex,,,,,,,,,,,,1907,Braungelbe Segge
"Carex × gaudiniana  
(C. dioica × echinata)",0,ex,,,,1,,,,,,,,1868,Gaudins Segge
Carex hostiana,0,ex,,,,1,2,,,,,,,1976,Saum-Segge
Carex montana,0,ex,,,,2,,,,,,,,1980,Berg-Segge
Carex pendula *,0,ex,,,,0,,,,,,,,1856,"Hänge-Segge, Große Segge"
"Carex peraffinis  
(C. cespitosa × nigra)",0,ex,,,,D,,,,,,,,1901,Seggen-Hybride
Carex pulicaris,0,ex,,,,1,2,3,,,,,,1908,Floh-Segge
"Carex strictiformis  
(C. cespitosa × elata)",0,ex,,,,,,,,,,,,1901,Seggen-Hybride
Carex sylvatica *,0,ex,,,,V,,,,,,,,1856,Wald-Segge
Carex tomentosa,0,ex,,,,1,3,,,,,,,1973,Filz-Segge
Carex turfosa (C. elata × nigra),0,ex,,,,,,,,,,,,1956,Bastard-Steif-Segge
"Carex × xanthocarpa  
(C. flava × hostiana)",0,ex,,,,,,,,,,,N,1987,Seggen-Hybride
Carum carvi *,0,ex,,,,1,,,,,,,,1982,Wiesen-Kümmel
"Centaurium littorale subsp. 
compressum",0,ex,,,,1,,,§,,,,,1981,"Binnenländisches Strand-
Tausendgüldenkraut"
Cephalanthera rubra *,0,ex,,,,2,,,§,,,!!,,2005,Rotes Waldvöglein
Cerastium lucorum,0,ex,,,,G,,,,,,,,1915,Großfrüchtiges Hornkraut
Ceratophyllum platyacanthum,0,ex,,,,D,,,,,,,,1963,Breitstacheliges Hornkraut
Chenopodium bonus-henricus *,0,ex,,,,2,3,,,!,,!!,,1988,Guter Heinrich
Chenopodium urbicum,0,ex,,,,1,1,,,,,,,1953,Straßen-Gänsefuß
Chenopodium vulvaria,0,ex,,,,0,2,,,,,,,1979,Stinkender Gänsefuß
Chimaphila umbellata *,0,ex,,,,2,2,2,§,,,!!,,1998,Dolden-Winterlieb
Cicerbita macrophylla,0,ex,,,,,,,,,,,N,1991,Großblättriger Milchlattich
Circaea intermedia,0,ex,,,,G,,,,,,,,1992,Mittleres Hexenkraut
Cirsium acaulon *,0,ex,,,,2,,,,,,!,,1989,Stängellose Kratzdistel
Cladium mariscus,0,ex,,,,3,3,,,,,,,1949,Binsen-Schneide
Corallorhiza trifida,0,ex,,,,1,3,,§,,,,,1957,Korallenwurz
Crassula aquatica,0,ex,,,,0,0,1,,,,,,1836,Wasser-Dickblatt
Crataegus laevigata s. str. *,0,ex,,,,2,,,,,,!!,,1997,Zweigriffliger Weißdorn
Crepis praemorsa,0,ex,,,,1,,,,,,,,1909,Abbiss-Pippau
Cuscuta epilinum,0,ex,,,,0,0,1,,!,,,,1925,Lein-Seide
Cyperus flavescens,0,ex,,,,1,2,,,,,,,1893,Gelbliches Zypergras
Dactylorhiza fuchsii *,0,ex,,,,2,,,§,,,!!,,1999,Fuchs Knabenkraut
Diphasiastrum complanatum,0,ex,,,,2,2,,"§, V",,,,,1964,Gemeiner Flachbärlapp
Diphasiastrum tristachyum,0,ex,,,,1,2,2,"§, V",,,,,1960,Zypressen-Flachbärlapp
Drosera anglica,0,ex,,,,1,2,2,§,,,,,1950,Langblättriger Sonnentau
"Drosera × obovata  
(D. anglica × rotundifolia)",0,ex,,,,,,,§,,,,,1925,Bastard-Sonnentau
Elatine hexandra,0,ex,,,,2,3,,,,,,,1880,Sechsmänniges Tännel
Elatine hydropiper,0,ex,,,,2,3,,,,,,,1910,Wasserpfeffer-Tännel
Eleocharis acicularis *,0,ex,,,,3,3,,,,,!,,1998,Nadel-Sumpfsimse
Eleocharis ovata,0,ex,,,,1,,,,,,,,1860,Eiförmige Sumpfsimse
Eleocharis quinqueflora,0,ex,,,,1,2,,,,,,,1976,Wenigblütige Sumpfsimse
Equisetum variegatum *,0,ex,,,,2,2,,,,,!!,N,1998,Bunter Schachtelhalm
Erica tetralix *,0,ex,,,,2,,,,,,,N,1903,Glocken-Heide
Erigeron droebachiensis *,0,ex,,,,G,,,,,,!!,,1996,Kahles Berufkraut
