Wissenschaftlicher_Name,BE,Bestand,Trend_lang,Trend_kurz,RF,D,GfU,letzter_Nachweis,Deutscher Name
"Adarrus multinotatus (BOHEMAN, 1847)",0,ex,,,,*,"1, 7",vor 1912,Gemeine Zwenkenzirpe
"Allygus maculatus RIBAUT, 1952",0,ex,,,,3,"1, 2, 7",1902,Fleckenbaumzirpe
"Anoscopus albifrons (LINNAEUS, 1758)",0,ex,,,,*,?,vor 1912,Braune Erdzikade
"Arocephalus punctum (FLOR, 1861)",0,ex,,,,3,"1, 7",1889,Widderzirpe
"Athysanus quadrum BOHEMAN, 1845",0,ex,,,,2,"2, 6",1919,Sumpfzirpe
"Cicadula saturata (EDWARDS, 1915)",0,ex,,,,3,"2, 6",1889,Braunseggenzirpe
"Coryphaelus gyllenhalii (FALLÉN, 1826)",0,ex,,,,1,"2, 5",1919,Bunte Simsenzirpe
"Cosmotettix panzeri (FLOR, 1861)",0,ex,,,,2,2,1952,Baltische Moorzirpe
"Criomorphus borealis (J. SAHLBERG, 1871)",0,ex,,,,V,"2, 6",vor 1960,Taigaspornzikade
"Criomorphus moestus (BOHEMAN, 1847)",0,ex,,,,1,"2, 6",1952,Schwedische Spornzikade
"Delphacinus mesomelas (BOHEMAN, 1850)",0,ex,,,,2,7,vor 1912,Elfenbein-Spornzikade
"Delphax crassicornis (PANZER, 1796)",0,ex,,,,3,"2, 6",vor 1880,Bunte Schilfspornzikade
"Doliotettix lunulatus (ZETTERSTEDT, 1840)",0,ex,,,,D,"1, 6",1928,Frühlingsgraszirpe
"Empoasca affinis NAST, 1937",0,ex,,,,*,?,vor 1960,Strauchblattzikade
"Erotettix cyane (BOHEMAN, 1845)",0,ex,,,,2,"2, 5",1889,Seerosenzirpe
"Eurhadina kirschbaumi W. WAGNER, 1937",0,ex,,,,V,2,1889,Traubeneichen-Elfenzikade
"Euscelis venosus (KIRSCHBAUM, 1868)",0,ex,,,,3,"1, 7",1889,Eberwurzzirpe
"Hephathus nanus (HERRICH-SCHÄFFER, 1835)",0,ex,,,,2,"1, 7",1921,Zwergmaskenzikade
"Jassargus pseudocellaris (FLOR, 1861)",0,ex,,,,*,?,vor 1912,Wiesen-Spitzkopfzirpe
"Kelisia ribauti W. WAGNER, 1938",0,ex,,,,2,"2, 6",1952,Schwarzlippen-Spornzikade
"Kelisia vittipennis (J. SAHLBERG, 1868)",0,ex,,,,2,2,1952,Wollgras-Spornzikade
"Limotettix atricapillus (BOHEMAN, 1845)",0,ex,,,,1,2,1952,Schnabelriedzirpe
"Macropsis impura (BOHEMAN, 1847)",0,ex,,,,2,"2, 6",1919,Kleine Maskenzikade
"Metalimnus formosus (BOHEMAN, 1845)",0,ex,,,,3,"2, 6",1952,Schöne Marmorzirpe
"Nothodelphax albocarinata (STÅL, 1858)",0,ex,,,,1,2,vor 1960,Schlenkenspornzikade
"Nothodelphax distincta (FLOR, 1861)",0,ex,,,,2,2,1952,Hochmoor-Spornzikade
"Oncodelphax pullula (BOHEMAN, 1852)",0,ex,,,,2,"2, 6",1952,Klauenspornzikade
"Oncopsis appendiculata W. WAGNER, 1944",0,ex,,,,*,?,1910,Hakenmaskenzikade
"Ophiola russeola (FALLÉN, 1826)",0,ex,,,,V,2,1952,Zwergheidezirpe
"Paraliburnia clypealis (J. SAHLBERG, 1871)",0,ex,,,,2,2,1951,Braune Spornzikade
"Parapotes reticulatus (HORVÁTH, 1897)",0,ex,,,,1,"2, 5",1919,Scherenzirpe
"Planaphrodes trifasciata (GEOFFROY, 1785)",0,ex,,,,3,"1, 7",vor 1912,Heideerdzikade
"Populicerus laminatus (FLOR, 1861)",0,ex,,,,*,?,1921,Große Espenwinkerzikade
"Stiroma bicarinata (HERRICH-SCHÄFFER, 1835)",0,ex,,,,*,?,vor 1912,Waldspornzikade
"Stroggylocephalus agrestis (FALLÉN, 1806)",0,ex,,,,V,"2, 6",1932,Sumpferdzikade
"Tettigometra leucophaea (PREYSSLER, 1792)",0,ex,,,,0,7,1905,Punktierte Ameisenzikade
"Ulopa reticulata (FABRICIUS, 1794)",0,ex,,,,V,"1, 7",1921,Heidekrautzikade
"Verdanus abdominalis (FABRICIUS, 1803)",0,ex,,,,*,6,vor 1912,Schwarzgrüne Graszirpe
"Zygina nigritarsis REMANE, 1994",0,ex,,,,2,?,1889,Ringelfeuerzikade
